approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.004628852,0.072808184,1067.7058823529412,38.48023556862746,-1.023080587387085,345,1,2.885662,-0.0031707853,1024,62.22540020942688,21504,0.010701274
0.07714907,0.4818641,498.62,242.26546888000004,0.6243237257003784,356,100,2.1499383,-0.029752666,102400,5976.419379234314,2150400,0.2320314
0.09589978,0.4716022,617.05,313.89549710999995,0.8340378254652023,365,200,1.919589,-0.031142771,204800,11965.949506521225,4300800,0.21250843
0.08889144,0.41003218,786.38,413.9506268999999,0.9067938104271889,366,300,1.7315315,-0.021413105,307200,17976.881878852844,6451200,0.35044697
0.09350995,0.4038938,538.61,300.5305679,0.8584284484386444,361,400,1.9249116,-0.021069326,409600,23910.628091096878,8601600,0.29104477
0.13103822,0.4176121,830.1,444.61576212999984,0.8701232820749283,362,500,1.526738,-0.020711469,512000,29883.67104125023,10752000,0.33665577
0.08218218,0.38259542,731.22,504.57107697999993,0.9002659693360329,362,600,1.5201479,-0.018444834,614400,35824.956839084625,12902400,0.42317948
0.11286364,0.3676525,749.86,437.23064115,0.9529473148286343,366,700,1.3341702,-0.018611562,716800,41753.76389312744,15052800,0.38282052
0.12965761,0.32869864,839.83,590.09113395,0.9473892450332642,354,800,0.9751572,-0.0097245565,819200,47769.36910247803,17203200,0.36395547
0.091771394,0.31657678,796.58,556.39602643,0.9314252361655235,365,900,1.0126857,-0.012041542,921600,53704.37543964386,19353600,0.32820174
0.073352985,0.30760163,761.42,596.5660231699999,0.9221377000212669,362,1000,1.0547751,-0.013507475,1024000,59620.24816608429,21504000,0.36800054
0.07110433,0.320731,675.4,453.97597257,0.9402681477367878,368,1100,1.1622238,-0.013759825,1126400,65540.79198360443,23654400,0.3565416
0.08333003,0.28817898,1063.73,804.0110262399998,0.9422397576272488,363,1200,0.97172314,-0.010755907,1228800,71459.57949399948,25804800,0.36611083
0.06409287,0.27911082,896.34,535.2961783499999,0.905199371278286,360,1300,1.095728,-0.008682397,1331200,77355.72401189804,27955200,0.48985186
0.071533486,0.2534723,1458.9,659.8309624399999,0.9516208246350288,372,1400,1.4562737,-0.008035498,1433600,83189.80459475517,30105600,0.19866832
