r,l,t
411.990413,6203,88.306406
-1.01,182,90.434862
-1.01,384,94.853679
58.99006,524,100.69886
-1.01,212,103.046722
84.990086,999,127.30736
26.990028,366,131.942173
74.990073,1094,144.860939
200.990102,850,154.599167
-1.01,657,162.128569
113.990115,1187,187.515428
120.990122,415,192.192437
205.990207,823,201.293046
119.990121,746,209.590706
4.990006,635,216.589941
135.990119,976,227.444948
58.99,338,243.132918
58.99,587,249.562987
184.99017,580,256.017205
233.990235,799,264.882522
73.990075,542,270.959502
248.990246,1207,284.410266
68.99,238,298.81402
223.990145,701,306.557678
44.990046,168,308.417473
320.990322,876,318.292737
66.990068,438,323.183955
-1.01,249,326.018329
-1.01,294,329.30932
159.990161,602,335.998028
32.990034,290,339.286428
54.990056,462,356.309737
84.990076,1223,369.953357
58.99,233,372.621949
88.99,213,375.118323
53.99,232,377.869362
598.990549,2506,417.961591
111.990113,300,421.321521
171.990173,538,427.507051
45.990047,319,431.123573
149.990151,558,437.4136
253.990255,552,443.609963
203.990205,568,450.015807
-1.01,207,452.333788
391.990393,925,474.343318
403.990405,840,483.699976
89.990043,340,487.533638
53.99,321,491.075239
49.99,259,494.062909
453.990455,861,503.64185
280.99027,659,510.910002
106.99,302,514.280373
32.99,284,529.081542
148.99015,401,533.53958
828.990462,989,544.498535
119.990121,435,549.324264
-1.01,328,552.931177
42.990044,297,556.187579
-1.01,252,558.946579
163.990131,1186,572.133754
44.99,299,587.044741
10.99,168,588.873576
45.99,187,590.941447
77.99,427,595.680608
535.990409,1836,616.416762
14.990016,167,618.317006
-1.01,235,621.008162
31.990033,259,624.009015
26.990028,1001,647.14117
72.990074,547,653.386832
100.990102,562,659.918022
155.990157,465,665.294178
6.990008,260,668.297313
152.990154,448,673.46595
378.99038,724,681.594902
100.990102,505,687.313699
148.99015,426,703.894808
127.990129,401,708.429715
227.990229,498,714.035573
472.990464,936,724.470975
6.99,191,726.576854
72.99,240,729.297576
147.990087,501,734.861997
371.990373,711,742.756766
264.990266,489,759.896373
41.99,241,762.653629
68.99,245,765.397513
185.990146,516,771.126469
388.99039,773,779.643726
34.990036,265,782.578631
37.990039,168,784.426008
-1.01,222,786.962817
119.990121,441,791.945059
-0.009999,177,793.932297
31.990033,167,795.794554
-1.01,226,798.313977
148.990144,988,821.182529
8.99,173,823.219624
92.99,320,826.782495
12.99,172,828.717319
65.99,242,831.47659
62.99,292,834.715272
418.990409,1491,851.713714
22.990024,166,853.665076
23.990025,218,856.212133
339.990341,889,878.162011
23.990025,233,880.914618
91.990093,355,884.997142
44.990046,296,888.518376
19.990021,235,891.187181
82.990084,299,894.677297
288.99029,726,903.056964
490.990492,872,912.977309
106.990108,250,915.818642
47.990049,267,918.850338
137.990139,373,934.816348
212.990214,537,940.974851
445.990447,681,948.596938
102.990004,224,951.138726
779.990727,1410,966.703106
93.99,249,969.553997
10.99,193,971.680591
45.99,253,974.549236
103.990105,300,977.897532
465.990467,893,999.523876
386.990336,1595,1017.291738
8.99,168,1019.134154
30.99,220,1021.545784
44.99,274,1024.602038
43.99,205,1026.982555
79.99,187,1029.125161
524.990418,1441,1057.067209
215.990217,975,1068.440623
135.990137,357,1072.592363
51.990053,180,1074.682829
77.990079,376,1079.070662
81.990083,329,1083.119555
9.990011,221,1085.779652
8.99001,170,1087.854663
-1.01,167,1089.873806
57.990059,200,1092.312445
8.99001,167,1094.467886
278.99028,712,1114.967149
33.990035,314,1119.264942
36.990038,170,1121.341503
-1.01,275,1124.642863
63.990065,204,1127.002197
626.990628,1006,1138.939081
273.990158,465,1144.640224
42.990044,170,1146.551702
131.990133,338,1150.644985
497.990491,840,1171.86469
108.99,234,1174.565208
488.990454,966,1185.569846
-0.009999,186,1187.841649
285.990271,538,1194.16127
70.99,256,1197.086615
64.99,298,1200.705816
115.990117,310,1204.352197
390.990392,695,1213.930873
60.990062,215,1217.165955
201.990203,444,1235.891699
170.990134,1171,1252.99492
46.99,220,1256.16749
75.99,210,1259.349877
63.99,399,1265.193418
593.990421,1720,1290.602527
565.990284,935,1316.794771
118.99012,477,1324.15817
7.990009,226,1327.64208
-1.01,250,1331.530725
45.990047,248,1335.334658
101.990103,374,1340.963063
80.990082,286,1345.261347
274.990276,669,1355.499499
48.99005,311,1360.277725
-1.01,288,1364.747035
-1.01,284,1379.935211
28.99003,539,1386.384934
395.990397,1272,1401.468546
52.99,222,1403.9847
402.990404,701,1412.182804
180.990182,442,1417.329269
419.990421,649,1424.801324
446.990448,713,1444.498421
96.99,282,1447.728772
54.99,268,1450.684682
431.990433,737,1458.865653
303.990293,880,1468.57813
78.99,215,1470.981392
60.99,218,1473.425288
121.990123,396,1477.821299
375.990377,655,1496.957225
269.990271,490,1502.438685
172.990138,1078,1514.458183
69.99,283,1517.658024
67.99,206,1520.052642
75.99,342,1523.887449
449.990438,1372,1539.689808
213.990215,734,1560.018144
147.990149,456,1565.398693
16.990018,258,1568.410209
62.990064,299,1571.874723
95.990097,390,1576.428581
-1.01,217,1579.018611
84.990086,306,1582.654936
259.990261,648,1590.152176
32.990034,232,1592.859249
5.990007,416,1597.737592
-1.01,292,1612.797264
-1.01,273,1616.040572
75.990077,348,1620.126848
366.990368,1224,1634.313774
70.99,248,1637.258265
68.99,229,1639.921879
102.99,263,1642.998919
444.990446,707,1651.182287
129.990131,416,1655.937234
226.990228,440,1672.52398
185.990187,406,1677.010877
336.990338,619,1683.927827
161.990125,394,1688.267809
77.99,216,1690.679312
378.990343,672,1698.082572
382.990384,607,1704.802485
102.99,238,1707.417168
189.990141,500,1712.949637
358.99036,675,1732.154838
66.990068,267,1735.189626
163.990165,447,1740.257487
196.990174,1035,1752.048081
69.99,216,1754.554507
58.99,363,1758.775352
70.99,206,1761.13925
590.990442,1440,1789.287222
199.990201,979,1800.680376
180.990182,435,1805.865145
155.990157,414,1810.770424
333.990335,636,1818.338464
8.99001,282,1821.688125
-1.01,213,1824.192594
10.990012,371,1828.538684
32.990034,169,1830.492532
20.990022,664,1849.895297
420.990422,1285,1864.714842
45.99,233,1867.391602
48.99,282,1870.71494
62.99,234,1873.454682
51.99,233,1876.177472
6.99,175,1878.186837
59.99,254,1881.122327
0.99,172,1883.077264
10.99,180,1885.149127
161.990163,312,1888.691858
436.990438,772,1909.046848
198.9902,413,1913.617278
192.990194,389,1917.971057
252.990254,501,1923.549161
212.990206,445,1928.560933
114.99,241,1931.285591
385.990357,779,1940.105933
58.99006,233,1942.698287
318.99031,600,1949.398978
86.99,245,1963.834129
54.99,251,1966.709435
148.99015,351,1970.702236
419.990421,684,1978.526261
214.990216,472,1983.892697
