r,l,t
122.990124,6152,87.698064
-1.01,367,91.877052
83.990085,1290,106.877818
232.990234,792,128.368585
106.990108,779,138.010361
25.990027,1101,150.783154
-1.01,410,155.40503
46.990048,550,161.730078
-1.01,451,166.935328
-1.01,224,169.687539
142.990144,511,187.137677
85.990042,429,191.962359
145.990075,592,198.528462
302.990304,1040,210.034976
292.990262,1033,221.450401
69.99,297,224.793522
61.990012,481,242.130443
331.990333,815,251.07117
85.990087,549,257.238619
-1.01,269,260.193266
89.990091,706,268.120053
206.990204,814,277.142465
64.99,214,279.61919
47.99,234,282.231215
186.990153,648,301.156466
711.990355,1457,317.414119
438.99022,871,327.164335
114.990058,257,330.07668
-2.01,195,332.228281
-1.01,304,335.610913
-1.01,186,337.699788
1.990003,252,340.58796
272.990118,1283,366.598733
104.99,269,369.712904
117.99,215,372.184015
535.990406,1676,391.171691
93.990049,328,395.060737
0.990002,332,398.816822
-0.009999,219,401.249183
-1.01,378,417.313334
-1.01,220,419.796911
-1.01,207,422.088195
566.990568,1061,434.174715
84.990086,315,437.758569
95.990097,402,442.256822
105.990107,351,446.26655
183.990185,471,451.524356
409.990411,788,471.94972
14.99,172,473.920014
71.99,272,476.962493
508.990445,1226,490.596954
30.990032,170,492.602243
0.990002,218,495.012629
9.990011,389,499.387355
256.990236,710,507.263046
79.99,241,509.904024
201.990152,474,515.195395
797.990398,1141,539.489673
39.990022,238,542.15612
-1.01,213,544.570587
-1.01,204,546.802637
3.990005,390,551.136063
30.990032,170,553.012989
-1.01,210,555.319689
151.990153,644,562.436621
19.990021,249,565.178613
-1.01,273,568.249772
209.990127,1186,592.97242
47.99,221,595.448794
46.99,215,597.915795
30.99,176,599.888361
65.99,221,602.423276
638.990453,1460,618.913558
0.990002,193,621.153985
0.990002,217,623.686758
133.990135,564,630.128518
184.990186,531,647.866366
341.990343,641,655.216562
35.990037,205,657.595932
231.990233,513,663.576121
-1.01,317,667.268585
255.990191,426,672.230908
209.990211,418,677.053959
432.990434,724,685.116523
79.990003,362,689.233407
74.99,319,704.586199
279.990281,621,711.57066
161.990163,493,717.15047
24.990026,168,719.004328
255.990257,532,724.923284
75.99,241,727.630137
64.99,244,730.362083
114.990105,418,734.990055
807.990403,921,745.22389
446.990224,620,763.843846
112.990058,287,767.054029
142.99012,998,778.082776
45.99,249,780.820851
16.99,177,782.791733
81.99,167,784.633492
92.99,251,787.488858
407.990409,1436,803.487796
13.990015,187,817.4268
30.990032,234,820.066392
103.990105,4087,878.300609
86.990088,394,882.876844
171.990173,470,888.423598
47.990049,307,891.921606
29.990031,264,894.985586
13.990015,349,899.057489
64.990066,310,902.650033
106.990108,375,906.928106
243.990245,791,915.913752
26.990028,216,918.364757
3.990005,267,933.098943
441.990443,781,941.994286
89.990091,242,944.740319
696.990698,1076,956.7248
284.990224,698,964.411792
68.99,241,967.09125
433.990413,788,975.85294
24.990026,231,978.476585
306.990288,656,997.399994
77.99,225,999.989207
202.990149,667,1007.322828
348.99035,590,1013.957256
-1.01,271,1017.015824
1.990003,211,1019.372308
-1.01,213,1021.72086
9.990011,216,1024.12912
-1.01,294,1027.47606
222.990224,471,1032.837569
205.990172,1055,1056.40248
46.99,208,1058.820374
41.99,215,1061.305871
79.99,313,1064.983729
45.99,218,1067.527302
540.99041,1463,1084.80264
32.990034,217,1087.40141
11.990013,354,1091.667412
-0.009999,293,1095.418118
-1.01,398,1112.132827
-1.01,214,1114.800267
253.990255,1028,1127.538718
75.990077,230,1130.265459
41.990043,177,1132.370041
139.990141,393,1137.046671
447.990449,769,1146.280052
516.990518,896,1156.80541
494.990488,867,1178.28077
22.99,195,1180.467011
69.99,237,1183.174813
49.99,244,1185.98194
435.990437,757,1194.939079
20.990022,224,1197.50477
15.990017,176,1199.674247
250.990252,474,1205.192129
66.99,214,1208.077509
67.99,236,1211.413883
141.990126,414,1217.666681
374.990376,656,1239.3546
67.990069,309,1243.915574
159.990161,446,1250.624426
40.990042,197,1253.516769
157.990135,1126,1270.061036
49.99,255,1273.814889
59.99,203,1276.893754
74.99,197,1279.818822
461.990409,1438,1313.301479
37.990039,167,1315.925241
305.990307,993,1331.183285
66.990068,282,1335.527394
92.990094,366,1341.040412
64.990066,353,1346.454682
339.990341,955,1360.95772
38.99004,253,1364.933657
4.990006,282,1380.09133
