r,l,t
285.990287,6300,89.22068
-1.01,325,92.977277
-1.01,756,101.476153
92.990094,799,112.11142
1.990003,291,126.74886
-1.01,454,132.449437
66.990068,498,138.422346
85.990087,456,143.752668
-1.01,208,146.124647
161.990163,1068,158.331281
84.990086,495,163.981013
-1.01,246,166.846944
160.990162,970,189.685172
76.990078,648,196.860749
88.99009,456,201.901763
39.990041,460,207.035364
28.99003,273,210.068176
162.990164,654,217.268233
108.9901,602,223.989547
142.99,277,227.089783
433.990435,1130,251.544647
27.990029,271,254.5311
112.990114,610,261.309672
153.990149,542,267.421779
86.99,237,270.069274
205.990147,774,278.72069
-1.01,168,280.586201
5.990007,170,282.469611
414.990416,2145,318.128105
1.990003,335,321.903519
41.990043,263,324.877995
147.990149,528,330.720422
8.99001,315,334.203422
40.990042,168,336.0729
-1.01,281,339.276051
-1.01,221,341.815465
-1.01,292,356.871255
140.990091,1228,370.581805
115.99,353,374.674917
130.99,219,377.200999
169.990171,467,382.542255
236.990238,606,389.311025
268.99027,566,395.953501
70.990072,352,399.880676
249.990251,546,417.773806
216.990218,593,424.596115
121.990123,481,430.032367
113.990111,584,436.577684
50.99,193,438.808427
60.99,237,441.496432
461.990427,1331,456.435205
312.9903,785,476.917591
99.99,235,479.547932
159.990122,485,484.924077
24.990026,225,487.49781
636.990638,1399,503.094079
-1.01,219,505.491663
-1.01,221,508.013665
157.990123,1152,532.381094
45.99,227,534.941902
76.99,202,537.170972
47.99,199,539.371927
34.99,184,541.432254
589.990422,1709,560.224181
19.990022,218,562.657901
6.990008,179,564.654475
4.990006,292,567.894122
-1.01,226,570.45779
65.990067,2966,615.18189
40.990042,657,622.778527
15.990017,226,625.378011
211.990213,563,643.459838
-1.01,298,646.902898
115.990117,415,651.671531
-1.01,241,654.472168
-1.01,256,657.390927
64.990066,448,662.54942
-0.009999,437,667.651378
-1.01,215,670.176987
-1.01,237,672.920336
439.990441,828,682.247807
170.990172,511,687.966411
13.990015,210,702.125365
167.990169,403,706.690809
217.990219,510,712.393826
162.990164,344,716.285263
172.990174,536,722.255631
104.9901,295,725.501158
80.99,221,728.020133
38.99,242,730.745549
443.990419,928,741.032986
305.990307,521,746.812178
94.99,304,761.925759
19.99,215,764.321987
145.99011,420,769.000601
389.990391,751,777.318073
269.990271,543,783.245999
161.990137,1239,797.071433
40.99,354,801.053684
64.99,227,803.575516
101.99,579,821.911227
437.99041,1648,840.439394
36.990038,180,842.475215
8.99001,215,844.905643
200.990202,1262,859.528143
104.990106,393,875.766011
-1.01,252,878.693729
1.990003,167,880.622854
-1.01,269,883.748308
-0.009999,167,885.683597
130.990132,438,890.824195
1.990003,284,894.113686
72.990074,406,898.817745
0.990002,236,901.548256
394.990396,692,909.468706
210.990212,484,914.886234
531.990533,880,936.588678
318.990314,595,943.34726
72.99,229,945.965526
54.99,242,948.64976
480.990464,875,958.383251
287.990263,700,966.080733
61.99,243,968.84701
49.99,229,971.334677
132.99012,448,976.339295
899.990789,1991,1010.183332
34.99,220,1012.644458
26.99,190,1014.783686
61.99,220,1017.211402
692.99046,1714,1048.158247
-1.01,190,1050.285548
-1.01,233,1052.955253
367.990369,917,1063.550718
78.99008,300,1067.027552
7.990009,260,1070.044901
86.990088,441,1075.185778
43.990045,333,1079.096606
185.990187,408,1084.100769
130.990132,509,1090.221194
3.990005,167,1092.287509
-1.01,218,1095.051378
-0.009999,316,1110.736588
45.990047,365,1115.207946
395.990397,1281,1130.964191
79.99,227,1133.653107
