approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.032465003,0.22918217,700.78,605.2052999999999,0.9876646399497986,270,3700,2.0334182,-0.0053297803,3788800,295635.11271333694,79564800,0.56952894
0.02744008,0.21003842,1260.46,1230.4206,0.9864258216693997,272,3800,1.9232922,-0.0059382413,3891200,303798.109341383,81715200,0.7892932
0.02631419,0.20428754,837.76,621.4108,0.9917996386066079,271,3900,1.9171906,-0.006673999,3993600,311735.2522146702,83865600,0.5307906
0.025990078,0.21422367,895.55,784.4410000000004,0.9867497747763991,272,4000,1.904788,-0.006690487,4096000,319697.06847405434,86016000,0.6574443
0.030381367,0.22197413,737.78,596.4909999999999,0.9801485501229763,270,4100,1.8418239,-0.0072555896,4198400,327663.8272922039,88166400,1.02734
0.02445478,0.20362099,793.94,693.1108,0.9849905604496598,270,4200,1.9457604,-0.008607904,4300800,335604.0813679695,90316800,0.73164135
0.03019608,0.24485369,735.52,534.0356999999999,0.9776373114436865,270,4300,1.8382154,-0.008581043,4403200,343832.311398983,92467200,0.901387
0.033564463,0.23397197,838.21,733.6559000000001,0.9872178696095943,268,4400,1.6785449,-0.007435547,4505600,352013.42879009247,94617600,0.7193022
0.029820109,0.23175533,772.01,762.3510000000001,0.9817325416952372,270,4500,1.9801921,-0.0046738153,4608000,360439.7547223568,96768000,0.6538857
0.02636079,0.23311956,1010.45,1003.1659000000003,0.9863328784704208,270,4600,1.8572274,-0.0057075457,4710400,368378.94039583206,98918400,0.7321251
0.027359368,0.21502982,710.74,583.7156999999999,0.9786552898585796,270,4700,1.6743445,-0.006688606,4812800,376448.01316833496,101068800,1.3597935
0.03466941,0.23454547,982.39,956.2657000000003,0.9818407874554396,271,4800,1.8049577,-0.0010638642,4915200,384401.7062897682,103219200,1.1418155
0.038275898,0.21729283,1047.96,969.8859000000002,0.9820650108158588,270,4900,1.8645519,-0.0073132417,5017600,392359.26367115974,105369600,0.91232544
0.029216714,0.21575837,929.28,798.1959000000002,0.9896373311057687,271,5000,1.667892,-0.0068220156,5120000,400305.22707629204,107520000,0.64210254
0.037916426,0.21940105,873.5,823.5104000000001,0.9913595234975219,269,5100,1.7383906,-0.005244203,5222400,408284.7596540451,109670400,0.56120026
0.026309669,0.2079613,786.05,711.7504000000001,0.9904392967000604,269,5200,1.7925171,-0.004453073,5324800,416256.0239458084,111820800,0.5881151
0.03173282,0.23170888,714.02,469.8607999999999,0.9839283097535372,269,5300,1.9401468,-0.004900031,5427200,424224.3132007122,113971200,0.57128
