r,l,t
-256.079472,4166,68.37804
-463.069777,3856,115.106271
-34.06947,4998,209.355469
222.930681,4658,283.510514
-142.06947,2637,314.208045
-32.06947,3568,374.328265
-71.069469,3047,427.547646
222.930681,3723,488.168385
388.930847,4413,556.812772
-42.06947,2928,610.352778
-438.069752,1637,631.082248
-463.069777,1626,668.365137
-460.069774,1727,687.69268
-436.06975,1727,706.959012
101.93056,3775,768.294312
-55.069469,3335,824.72899
-156.06947,2454,871.361062
91.93055,3627,930.675482
-49.069471,3703,991.132706
-153.069471,2939,1024.108932
-254.069568,1755,1063.080292
93.930552,3712,1124.00592
-62.06947,3264,1160.542125
-152.06947,2105,1203.357254
227.930686,3326,1259.559228
115.930574,3651,1319.241447
256.930715,3288,1355.840201
-42.06947,3652,1415.578288
-70.06947,3428,1472.68429
-307.069621,1969,1513.825895
359.920915,4210,1580.555417
-121.069471,3033,1614.432759
-53.069471,2983,1666.717113
93.930552,6794,1779.379303
-459.069773,2034,1801.787837
82.930541,3557,1860.008572
-108.06947,3243,1914.881944
-39.069469,3813,1976.417989
-64.06947,4079,2040.993279
98.930557,3147,2094.968507
366.930825,3512,2134.042125
237.930696,3355,2190.511605
-29.069469,3028,2243.64243
91.93055,3332,2299.72425
393.930852,21741,2636.366576
456.930915,4134,2701.095426
248.930707,3501,2759.169889
-92.06947,3282,2814.862376
352.920909,4053,2879.211512
401.93086,4086,2943.523453
360.920917,3699,3003.779408
376.920932,3246,3058.816035
238.930697,2684,3088.616868
103.930562,18138,3385.763362
451.93091,3082,3419.875258
72.930531,3660,3479.532336
97.930556,4306,3546.556431
393.930852,4525,3616.022029
398.930857,3386,3672.796612
236.930694,2742,3722.402404
-76.06947,2793,3772.485984
406.930865,3500,3811.067378
624.921181,3832,3872.517423
233.930692,3839,3933.976726
72.930531,3011,3986.46195
107.930566,3722,4046.952774
216.930675,2682,4095.887144
116.930575,3840,4158.129368
1474.921619,5200,4235.433396
376.920933,3896,4297.888908
119.930578,9410,4440.383082
624.921181,3717,4500.936879
248.930707,2410,4546.950969
452.921009,3636,4587.364525
1070.921618,5236,4683.666112
1983.921982,5846,4767.779308
467.930926,3657,4827.580337
617.921174,3958,4890.915398
1492.921618,4597,4961.190328
652.921208,3684,5021.182526
1422.921618,4602,5091.576391
740.921296,3818,5153.211249
755.931214,3973,5216.217942
1633.921982,5173,5292.620023
2098.931985,5302,5389.65132
1468.921619,4389,5457.317954
1612.931621,4414,5525.031378
642.921199,4061,5588.961623
1679.931622,4682,5659.757019
2061.921984,5226,5736.827465
473.930932,2987,5789.237273
1539.931622,4804,5861.528199
838.931297,3065,5914.474202
1863.921982,5497,5994.405971
1409.92162,4375,6061.983951
2008.92198,5531,6161.732759
795.921352,3717,6222.408764
2178.931985,5277,6299.831927
2020.921981,5432,6378.938186
2194.931985,6562,6489.669895
715.921272,3274,6544.88473
2278.921985,8725,6679.642007
1075.92162,3479,6737.234836
2271.931984,6218,6824.543179
1386.92162,3414,6881.279585
2180.921983,7097,6997.52188
2125.931984,8597,7130.011713
2205.931986,6433,7219.749954
2096.921983,6377,7327.585981
2128.921982,5807,7410.018009
2190.931985,16291,7663.33428
2131.921982,6233,8255.321947
2211.931984,11754,8417.320801
1332.921621,3391,8471.606709
2176.931983,12965,10126.017166
2169.931984,24911,10502.561369
2110.931983,12340,11665.715779
2149.931984,26222,12540.45143
500.930959,2535,15955.892844
2292.931985,13521,16643.189917
2378.931985,22080,17942.115316
4960.932211,12421,22007.290044
4900.922177,9009,22633.40598
4813.932186,7613,22753.989907
4850.922175,7976,22878.986177
3887.932142,6535,22969.031114
4967.93218,7539,23088.878022
4787.922188,9383,23228.336766
2306.931985,4985,23320.730047
4932.932183,7133,23417.077902
3888.932149,7010,23531.023783
5043.932208,8760,23663.616589
4955.932182,6485,23771.849846
5033.932216,7476,23891.098026
5033.932264,7951,23996.320607
5044.932241,7730,24117.927435
5006.932229,12391,24308.807986
4973.93218,6877,24421.093633
5282.932361,12107,24608.631278
464.930923,2268,24652.106168
5268.932367,8421,24780.730064
5360.932363,10664,24933.762557
5253.932362,9014,25069.359501
5229.93236,10623,25241.420673
5251.932366,10428,25411.15441
4946.92219,7412,25509.767905
5308.932365,9684,25671.646086
5011.932188,7101,25767.285875
5189.922356,7323,25884.692031
464.930923,2289,25928.657969
5341.93236,7644,26049.951841
359.920916,2549,26077.689946
1099.921619,3281,26132.144592
5335.932364,8092,26258.53323
5375.932364,8771,26392.047377
5380.932367,8496,26522.118336
5222.932363,8009,26646.708634
5035.93218,6955,26760.628513
5155.922354,7654,26881.708222
5373.932364,9172,27018.439282
5296.932361,8968,27152.944189
5213.922356,8816,27286.470426
5181.922352,8672,27437.884172
5391.932368,9245,27576.271955
5204.922355,9286,27714.724512
5340.932363,9314,27853.586887
5339.932366,11942,28040.371236
5124.932303,14546,28272.127217
5369.932364,9602,28412.977011
5234.932365,13389,28612.851078
2441.931984,5243,29196.415917
5042.922347,31659,30151.530573
4918.922367,24297,30524.074852
5355.932364,9537,30663.293966
5435.922408,19627,30968.107441
1179.931622,3116,32468.793805
740.931199,2799,33008.038971
5342.932363,10363,33155.392656
5375.922358,8320,33281.80132
5213.932368,7177,33887.589656
6006.922763,20150,34195.147669
5244.922355,7704,34314.690336
5415.922366,19908,34621.930306
6145.922762,11051,35272.472004
5356.932355,25944,35662.813446
5270.922355,11796,35845.191204
5377.932356,8569,35974.217633
5394.932367,7989,36097.929954
5887.92277,10320,36266.470465
5134.932367,7679,36387.207827
103.930562,1742,36405.646955
5270.922355,8161,36532.154993
5414.932365,30400,37012.470459
5384.932357,9511,37647.513832
5378.932365,9696,37790.938007
5267.932362,7499,37910.811152
5949.92276,10807,38085.81514
5126.922351,7013,38181.313905
5317.922356,7584,38301.993927
5369.932366,7268,38418.95295
5163.922359,8008,38544.254373
5256.932365,8220,38671.941316
5253.932354,7243,38788.836087
6360.922763,9141,38926.13413
672.921229,2655,38974.177936
5335.922352,7973,39080.205939
3599.921974,5639,39180.464976
5821.922758,8260,39308.622587
4982.932177,6110,39394.206311
5383.932366,7613,39515.473962
6383.92276,8984,39651.771751
5365.932364,7581,39772.969887
3712.931985,5853,39875.068764
2266.931985,4792,39946.183459
5140.922362,7366,40064.491266
5869.922758,9373,40204.82604
5109.922356,7381,40323.333996
6341.922766,9053,40460.154013
658.921215,2690,40508.59323
5269.932368,7049,40604.499029
6559.922754,9355,40764.184011
5385.932366,7795,40887.412436
6000.922767,9053,41024.054082
5250.922363,7431,41143.591486
5879.922768,8353,41272.791184
5973.922772,9187,41410.245285
3647.921974,5304,41486.978281
723.931181,2473,41532.882365
5894.922763,8459,41663.652981
6226.922757,7976,41788.83471
6245.922774,9456,41930.034486
6582.922773,8417,42060.197797
5152.932367,6944,42174.321158
6305.922764,8244,42302.379309
6210.922755,8457,42432.842917
3626.921983,6245,42519.892058
6415.922754,8390,42649.567337
5233.922363,7441,42769.013869
6544.922769,8440,42899.111079
617.921174,2885,42949.869932
6283.932764,8227,43077.544568
5129.922364,7377,43196.15655
6268.922771,8879,43331.28579
6496.922755,8929,43466.673946
6714.922757,8953,43602.591464
3560.921973,5985,43706.270097
5355.932366,7933,43831.641958
6008.922769,8216,43959.313228
6471.932768,8597,44091.615549
6677.922772,8206,44219.56479
6598.922769,8698,44352.503433
6367.922758,8820,44486.952465
6316.922771,7725,44609.377775
6743.922766,9083,44746.488848
6341.922756,8626,44879.162069
6297.922756,8465,45009.770041
6767.922762,8930,45164.583628
6541.922762,8083,45291.356237
6392.922763,7491,45391.907676
6440.922761,8327,45520.829052
5228.922355,6335,45628.411252
6304.922765,7945,45753.570108
6102.922767,8599,45885.610346
6537.922768,7977,46011.224619
6653.922768,8608,46143.037641
3708.931985,5350,46220.943236
5260.932363,7764,46343.820449
3764.922145,5614,46442.750287
5290.92236,6993,46537.870088
8213.93276,12019,46726.308946
4876.922171,6967,46840.641719
5363.932368,7437,46959.889866
6528.922757,8836,47094.370661
6634.922755,8245,47222.737844
6505.922768,8412,47352.848025
6708.92276,8618,47484.995411
5393.932354,6652,47595.150098
6806.922773,9016,47731.979701
2391.931984,5028,47806.178414
6366.922769,8779,47940.331487
6821.922774,8704,48073.635284
6422.922763,8436,48223.084667
5943.922762,8086,48349.817275
6968.922765,9148,48487.617072
6101.922761,8445,48617.986037
6351.922754,8068,48744.757284
6410.922763,7828,48868.524503
6274.932761,7444,48987.600298
6367.922748,7760,49091.217138
6624.922765,7786,49214.663271
6668.922767,8354,49344.243315
6801.922762,8716,49477.452876
6730.922755,9013,49633.397089
6907.922756,10292,49784.496682
6717.922758,8447,49914.700853
7000.922765,10254,50083.746263
6483.922756,8402,50213.891585
6656.922761,8015,50339.875715
6742.922751,7853,50463.842116
6355.922758,7842,50587.515647
6682.922759,9056,50724.569916
6766.922765,8901,50859.89793
6634.922759,8087,50986.810675
5584.922624,7055,51102.13938
6794.922765,8614,51234.800387
6738.922765,8149,51362.524617
6616.922767,8092,51488.75616
6601.922762,8136,51616.004114
6779.922756,8473,51747.321876
6804.922765,9267,51886.881098
6649.922775,8800,52021.262391
5447.932364,7146,52137.435348
5388.932361,7062,52253.012856
6159.92277,8056,52379.242348
6733.922762,8389,52508.698007
6692.922771,8935,52644.482837
6820.922765,8873,52779.617969
6706.922762,8731,52913.236225
7019.92277,10555,53085.923365
7022.922767,11819,53273.143131
6743.922758,8200,53400.680254
6524.922767,7800,53524.056021
6969.922764,9906,53670.436323
6280.922765,8088,53797.058991
6788.922755,8981,53933.426061
6319.922764,8359,54063.145121
7048.922763,9888,54228.825638
6634.922763,8213,54356.830037
6491.92276,7770,54479.628608
6507.922751,7669,54582.605778
6763.922766,8316,54711.870242
6184.922769,7310,54830.11529
6865.922754,9081,54967.409961
456.930915,2167,55010.214129
5946.922765,7891,55134.459945
3626.921973,5832,55217.132067
8038.922767,11686,55402.424079
721.93118,2606,55450.155368
6757.922768,8275,55578.311317
6836.922761,9121,55716.205968
6719.922756,8155,55843.40098
6461.922756,7839,55967.025021
6781.922756,9253,56105.878057
6304.922761,7904,56230.560802
6662.922759,8422,56360.636807
8016.922761,11334,56541.14742
7039.922756,10308,56691.993071
7009.92275,10582,56864.922187
6503.922752,8156,56992.210527
6717.922756,8471,57122.903467
6688.922763,8070,57249.482246
6667.922756,8224,57377.713246
6764.922757,9033,57514.406041
6800.922763,8976,57650.57394
8583.92277,10955,57827.642304
6771.92276,8836,57962.346307
6502.922753,7770,58085.371477
6985.922764,8602,58217.168161
2394.921982,4946,58309.690405
6774.922763,7968,58415.507117
6817.92277,8637,58567.142051
2328.921985,4623,58636.660499
6500.932765,7766,58760.08755
6758.922765,7996,58885.32154
3631.921976,6746,58977.925725
6698.922759,8855,59112.577031
6990.922763,10138,59280.959539
6852.922765,8469,59411.241951
6617.922758,8972,59547.019816
7956.922747,10587,59720.140252
2614.931985,5530,59799.626465
6776.922765,8856,59934.504676
6663.922764,7819,60058.025086
6495.922768,7983,60183.089925
6367.93277,7778,60306.261085
6572.922757,8051,60432.155637
6853.922766,8473,60562.86601
6725.922758,7894,60687.409605
6226.922761,8010,60813.470525
6788.922767,8446,60943.687306
8254.922769,10366,61094.715458
2503.931986,5011,61187.732341
6636.922765,8591,61319.976176
6708.922763,8802,61454.250023
6667.922768,8059,61580.149614
7010.922753,10666,61754.059581
6136.922767,8275,61882.407625
8057.922768,10634,62036.410315
6723.922754,8269,62164.438078
6766.922765,8264,62292.924846
6530.922777,7708,62415.140891
8023.922756,12126,62604.703443
6843.922768,8110,62731.587394
123.930582,1784,62751.128892
5605.922581,7286,62869.051226
8042.922761,10611,63041.93155
6133.922766,7942,63166.631005
6996.922765,9521,63308.933859
7042.922771,10239,63478.036031
487.930946,2217,63502.284345
5446.932363,7134,63617.827266
6719.922758,7635,63739.457439
6551.922762,8187,63867.197034
5677.922573,7800,63990.680807
6227.922762,8565,64121.930083
6508.922755,7811,64245.534493
6714.922757,8155,64372.98333
6468.922755,9020,64509.472094
6138.922759,7889,64633.734066
6232.922768,7474,64753.623453
6655.922768,8348,64882.764841
6702.922801,7940,65007.352744
8560.922761,11749,65173.114032
3909.932156,7858,65296.838382
5252.922355,7893,65421.131191
6525.922766,7707,65543.439927
6470.922763,8894,65678.798688
2401.931986,5577,65777.933381
6623.92277,8158,65905.376986
6889.922768,8296,66033.96396
5391.932358,6177,66120.509939
6665.922774,7536,66241.009806
6610.922761,8510,66372.099718
6487.922764,8095,66498.859538
6720.922747,8535,66630.087847
6611.92276,7892,66754.181288
5476.922355,7625,66875.659553
7016.922767,7921,66999.921977
6906.922759,10072,67147.948767
7027.92276,10124,67316.024872
6527.92277,7667,67437.857099
6318.922757,8799,67572.163517
5707.922604,7146,67688.287421
8071.922764,10879,67845.581253
