r,l,t
55.930005,1561,28.212328
31.930002,1612,51.268785
294.930031,2081,82.115918
11.930001,1611,104.089236
253.930031,1848,161.915656
241.930031,2013,189.088957
137.930029,1656,211.40965
91.930017,1696,797.200185
393.930034,4098,885.32273
327.930031,4334,943.684312
143.930016,3129,1018.79168
309.930031,3247,1062.675239
355.930031,6459,1182.676032
-4.07,3296,1227.058511
315.930031,2282,1257.666285
313.930031,3972,1344.234091
507.930031,3399,1389.972708
294.930031,4077,2042.090092
260.930031,2652,2077.77608
329.930031,5201,2181.14818
395.930031,28606,2666.163211
368.930031,2934,2738.726158
412.930031,3774,2789.576025
429.930031,2765,3390.382882
551.930031,3089,3464.929722
436.930031,2650,3500.724083
577.930031,3211,3544.075311
443.930031,1923,3603.083417
345.930031,3751,3653.639851
560.930031,2409,3686.029297
523.930031,2892,3758.354526
468.930031,3280,3802.488321
550.930031,2782,3840.022243
330.930031,3059,3914.299789
564.930031,4117,3969.585351
505.930031,2434,4035.45232
499.930031,3762,4086.061604
501.930031,3707,4135.957176
465.930031,1933,4195.184634
479.930031,2601,4230.268754
457.930031,2566,4265.035578
475.930031,2124,4326.82986
473.930031,3586,4375.178499
583.930031,3048,4416.03531
409.930031,3372,4494.531783
509.930031,3134,4536.567621
389.930031,3074,4611.147058
463.930031,3166,4653.803978
400.930029,2550,4688.209911
629.930031,3102,4763.149988
522.930031,3341,4808.086242
560.930031,3905,4894.017479
536.930031,2244,4924.160559
481.930031,2445,4959.440009
575.930031,3497,5040.069206
561.930031,4022,5094.217465
575.930031,3062,5135.396495
538.930031,2900,5207.666478
650.930031,3673,5257.052737
401.930031,3402,5335.910508
597.930031,2490,5369.447782
399.930034,3117,5411.520332
573.930031,2271,5475.433214
553.930031,2491,5508.918829
441.930031,3679,5558.328581
474.930031,2059,5618.659509
572.930031,2347,5650.302367
618.930031,3603,5698.94111
585.930031,4016,5786.249249
622.930031,3614,5834.868409
574.930031,3066,5909.435615
633.930031,4024,5963.838058
697.930031,4098,6052.151399
534.930031,3044,6093.427985
764.930031,5267,6197.534863
589.930031,3013,6238.161118
808.930031,5282,6342.527175
596.930031,4051,6397.067485
449.930031,4015,6484.379985
607.930031,2746,6521.49811
404.930031,3553,6569.437349
443.930031,4027,6656.679791
409.930031,4769,6720.835246
690.930031,3941,6806.899592
618.930031,3325,6851.623232
576.930031,2987,6924.948043
791.930031,4011,6979.078097
710.930031,3384,7057.860625
566.930031,2686,7094.066445
432.930031,3139,7136.391876
718.930031,4444,7229.618352
602.930031,3311,7274.215841
593.930031,3083,7348.602347
428.930031,3481,7395.502272
620.930031,2820,7433.437283
716.930031,4787,7531.242419
406.930031,4542,7625.33688
649.930031,3762,7675.98509
610.930031,2619,7711.344679
646.930031,4386,7803.599935
434.930031,4171,7859.924125
669.930031,4131,7948.92226
667.930031,3135,7991.123013
551.930031,3313,8068.964105
618.930031,2680,8105.109818
552.930031,2490,8138.604903
445.930031,4229,8228.616702
608.930031,3129,8270.890705
377.930031,3027,8344.939157
814.930031,4350,8403.539737
833.930031,3866,8488.84526
659.930031,3987,8542.469462
659.930031,3184,8585.542515
558.930031,3845,8670.345497
672.930031,4188,8726.828392
642.930031,2926,8799.278517
460.930031,2694,8835.618769
665.930062,4289,8926.450207
772.930031,3397,8972.209005
932.930062,5593,9080.616157
350.930031,3248,9124.455719
676.930031,2562,9159.025768
808.930031,3052,9235.47015
470.930031,4448,9296.090425
573.930031,2375,9362.488386
432.930031,3486,9409.588669
451.930031,5044,9510.45867
1112.930062,3958,9563.925669
381.930031,3457,9643.662138
802.930031,3917,9696.728548
457.930031,4321,9788.24759
855.930031,4805,9853.106664
629.930031,4723,9949.912019
702.930031,4338,10008.345839
737.930031,3765,10091.994996
449.930031,4101,10147.184421
463.930031,4511,10240.964076
764.930062,3575,10289.297479
791.930031,3636,10371.4346
460.930031,3602,10419.908031
699.930031,4359,10511.901529
469.930031,4892,10577.931694
458.930031,3230,10654.713008
670.930031,3292,10699.113775
495.930038,3535,10779.914806
702.930031,2094,10808.055195
713.930031,3911,10860.855368
863.930031,4634,10956.459695
676.930035,2466,10989.708108
1195.930062,3306,11067.484249
660.930062,3926,11120.727278
461.930031,3173,11163.395094
901.930062,3304,11241.276552
827.930031,3121,11283.098762
637.930031,2399,11315.434982
437.930031,2997,11389.081192
825.930031,3253,11432.776376
1119.930062,3400,11511.942973
431.930031,3218,11555.310431
749.930062,3546,11603.217737
603.930065,20382,11976.815874
856.930031,4260,12034.164805
444.930031,4036,12121.638876
703.930031,3345,12166.742907
790.930031,2389,12232.388531
459.930031,3102,12274.254909
654.930031,2640,12309.755609
880.930031,4187,12399.341618
757.930031,3924,12452.170681
798.930031,4128,12546.382808
877.930031,4333,12607.552582
443.930031,3832,12692.026005
886.930031,4571,12753.465939
875.930062,3842,12838.176181
727.930062,2955,12878.158312
632.930031,3356,12956.317807
1147.930062,3377,13001.66826
714.930031,3024,13042.416381
802.930031,2753,13112.678789
814.930031,3185,13155.998856
1284.930062,3732,13239.335743
702.930031,4611,13301.555903
803.930031,3653,13383.981193
763.930031,3418,13429.99416
858.930031,3998,13517.130325
837.930062,3481,13563.929115
884.930031,4360,13622.645047
878.930031,3111,13697.771246
877.930031,2423,13730.429274
709.930031,2513,13764.310744
733.930031,3166,13840.16525
753.930031,2756,13877.235929
771.930031,3174,13953.029218
842.930043,3093,13994.656452
861.930031,2845,14032.976117
874.930031,2533,14100.053302
864.930031,3096,14141.776896
946.930043,2799,14179.583076
1267.930062,5219,14283.407453
843.930031,3670,14332.862054
898.930036,3173,14408.68379
877.930031,4249,14466.093991
504.930039,3295,14543.483461
837.930031,3162,14586.005248
897.930031,3101,14660.867662
479.930031,4689,14723.920567
788.930031,3572,14805.322886
874.930031,2892,14844.185105
719.930031,3630,14893.076555
434.930034,5425,14999.274939
913.930035,3548,15047.039239
922.930043,3310,15124.52976
877.930031,2929,15164.052363
524.930043,2529,15197.995935
865.930031,5132,15299.955177
462.930031,2921,15339.210267
478.930031,3161,15414.770489
924.930039,3997,15468.598123
889.930031,2877,15540.351846
463.930031,3640,15589.364906
873.930031,2766,15626.451375
705.930062,3220,15702.945447
1166.930062,3444,15749.137498
886.930031,3751,15832.635551
1136.930062,2585,15867.302945
875.930031,2347,15898.716486
443.930031,3114,15973.771948
1293.93006,3916,16026.470096
-7.07,1951,16052.696038
883.930031,3108,16127.764794
482.930031,2102,16156.075031
1035.930062,3623,16237.811633
1279.930062,4568,16299.338778
1127.930062,2966,16339.220078
881.930031,3982,16425.817439
818.930031,2999,16466.043529
1008.930058,3188,16542.364077
883.930031,2308,16573.460157
757.930062,3193,16616.408235
868.930031,3555,16697.404446
696.930062,3969,16750.776427
1252.930062,3159,16826.533248
895.930034,3571,16874.616026
1277.930065,2815,16912.636966
797.930043,2962,16985.618852
880.930031,3453,17032.099088
882.930031,4967,17132.256847
880.930031,2490,17165.783981
875.930031,3313,17243.506701
1174.930062,2645,17279.07257
876.930031,3366,17324.414878
