r,l,t
-232.079472,5174,79.979202
-389.069703,3129,137.409883
-155.069469,2861,170.086435
74.930533,3835,233.468483
-466.06978,2397,280.312116
-59.069469,3692,340.552105
-457.069771,2395,369.539795
76.930535,4507,439.394092
-44.06947,3888,501.861872
-64.06947,3342,558.535536
-117.069469,3134,615.503302
-470.069784,2427,643.832078
89.930548,3537,702.517769
91.93055,3614,762.080093
115.930574,3587,821.338931
352.920909,4101,886.297895
247.930706,3669,946.211271
-36.06947,3334,1002.546839
94.930553,3084,1056.477525
-447.069761,3046,1090.78091
-60.06947,2947,1143.008467
-118.06947,2913,1194.921835
73.930532,3494,1253.003177
641.9311,4432,1321.273598
-60.06947,3673,1381.349919
-463.069777,3507,1420.339289
-106.06947,3093,1473.805941
112.930571,4078,1538.708812
83.930542,3115,1592.962098
466.930925,4031,1656.848623
-29.069469,2973,1708.905864
79.930538,3155,1743.28859
92.930551,2578,1790.831009
-101.069471,3356,1846.881787
271.93073,6106,1933.113796
-43.06947,3272,1988.784241
272.930731,3011,2041.51788
86.930545,3507,2099.483884
232.930691,2739,2130.021367
110.930569,3322,2186.155333
463.930922,4983,2260.95278
79.930538,4298,2327.695272
-56.06947,2539,2375.226215
349.920906,4790,2447.45213
345.920902,4451,2515.832743
-52.06947,3311,2571.464987
123.930582,3508,2629.732767
717.921273,4649,2700.079195
233.930692,3874,2762.147164
412.930871,3625,2821.722759
86.930545,3082,2875.347174
123.930582,3807,2936.621072
345.920902,5214,3013.543449
229.93069,3096,3066.968688
-29.069469,3356,3123.258697
297.930756,3145,3157.998567
355.920912,4531,3227.461077
241.930699,2769,3277.370075
228.930687,3684,3337.811192
71.93053,3307,3393.627991
244.930703,2878,3425.494849
570.921127,4309,3511.543984
781.921337,5030,3586.755315
366.930824,3512,3644.733298
719.921276,3837,3706.617552
90.930549,3661,3747.13606
108.930567,4571,3835.981803
368.930827,4031,3899.466039
466.930925,3236,3935.212242
442.930901,14346,4171.462394
452.930911,3681,4231.861909
1114.921619,4694,4303.226329
827.931285,4005,4367.049164
1415.92162,5453,4446.289946
