approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0015915964,0.06015157,3660.285714285714,-424.3568671428571,-0.22780025005340576,326,1,2.9427638,-0.0028084582,1024,65.9214859008789,21504,0.028798534
0.00624745,0.29560786,4568.9,1499.985865,0.9022774547338486,333,100,2.4682329,-0.019778833,102400,6477.189389467239,2150400,0.10258665
0.005556208,0.13442856,9094.89,1708.64972749,0.9961120574735105,347,200,2.6976192,-0.008538735,204800,12711.805170536041,4300800,0.006803585
0.008303204,0.16892196,8380.23,1660.4093451299996,0.9974507058504969,347,300,2.602535,-0.011231085,307200,18899.097321033478,6451200,0.004151976
0.0102087315,0.29407313,8244.49,4271.35942215,0.9581171274185181,338,400,1.8711097,-0.011320821,409600,25152.93055677414,8601600,0.26152164
0.009514225,0.21140249,13533.09,4507.65888574,0.9820269104093313,342,500,2.137195,-0.010557604,512000,31437.27941417694,10752000,0.16343835
0.0099267075,0.27267012,9714.22,4966.2669295900005,0.9662099368870258,338,600,1.8547148,-0.011304393,614400,37699.00131869316,12902400,0.31062573
0.012674476,0.3500861,8152.31,5913.024417559999,0.9680810496211052,336,700,1.7551981,-0.014857052,716800,44072.062603235245,15052800,0.22361016
0.011546804,0.31479034,8124.63,6228.72387062,0.9602544568479061,337,800,1.5727382,-0.011101128,819200,50453.69551372528,17203200,0.26353616
0.01145468,0.31406948,8726.12,6612.3331171,0.9743508901447058,336,900,1.624737,-0.011972802,921600,56838.8797454834,19353600,0.2486638
0.010973053,0.31547612,8407.23,6425.433950969999,0.9718767162412405,335,1000,1.6770718,-0.012470084,1024000,63218.81017994881,21504000,0.23010877
0.01568084,0.3430873,8531.36,6439.654150860001,0.9727484527975321,338,1100,1.7682049,-0.015057001,1126400,69598.36843299866,23654400,0.1979972
0.015938528,0.32280043,8776.33,6724.00417677,0.980092279613018,337,1200,1.5216452,-0.014523301,1228800,75981.81200742722,25804800,0.172777
0.010397672,0.29687497,8533.46,6681.53367887,0.9481140486896038,336,1300,1.5543743,-0.012130957,1331200,82366.85925769806,27955200,0.29920843
0.010324764,0.27925044,8657.03,6765.794097919999,0.9554665088653564,336,1400,1.5208846,-0.011283601,1433600,88751.83822488785,30105600,0.40113422
0.010205249,0.2676479,8366.85,6556.563274279999,0.9599606581032276,336,1500,1.5397062,-0.0104279,1536000,95133.24068784714,32256000,0.33886427
0.017047117,0.3201963,7905.78,6241.0039578900005,0.9814430698752403,336,1600,1.57403,-0.015198616,1638400,101520.1968331337,34406400,0.15089667
0.011928478,0.28129655,7847.93,6280.3237803,0.9593894779682159,336,1700,1.4959942,-0.011188106,1740800,107911.58467388153,36556800,0.31171143
0.012472665,0.2709147,7620.73,6165.8941425799985,0.9550853110849857,336,1800,1.4654903,-0.011012737,1843200,114302.72026133537,38707200,0.32643494
0.0110447025,0.25032544,8632.05,6814.33417733,0.9696509502828121,336,1900,1.4432149,-0.012046273,1945600,120681.50812840462,40857600,0.28303307
0.011398684,0.24733788,9036.52,7032.33495813,0.9560034163296223,339,2000,1.5357265,-0.012063875,2048000,127051.18978595734,43008000,0.4300976
0.015603081,0.27959928,9212.41,7140.30426815,0.9742015022784472,339,2100,1.5012424,-0.0132500185,2150400,133412.72451853752,45158400,0.24139969
0.012095475,0.28292412,9351.47,7427.66427011,0.9629161842167377,336,2200,1.472804,-0.012095096,2252800,139761.65334439278,47308800,0.31994691
0.013673411,0.25585935,9332.55,7420.21480578,0.9830678217113018,342,2300,1.59466,-0.013619483,2355200,146103.07121372223,49459200,0.21104027
0.014857476,0.2500581,9846.83,7808.39379191,0.9871802981942892,342,2400,1.456766,-0.013889862,2457600,152423.68051362038,51609600,0.17346033
0.015175045,0.25859135,10014.76,7532.244459580002,0.9792680758982897,341,2500,1.5290897,-0.0141691305,2560000,158734.0075352192,53760000,0.25570542
0.013425487,0.2640206,9460.05,7379.194095819998,0.965613704174757,337,2600,1.2814139,-0.014296784,2662400,165039.59772205353,55910400,0.36201957
