r,l,t
112.99,571,13.232353
182.99,344,18.358603
300.99,588,27.449447
33.99,593,36.332224
103.99,582,44.820435
60.99,299,49.163259
132.99,1090,65.062597
41.99,740,97.758726
2215.99,564,105.863221
26.99,271,109.816617
28.99,382,115.326444
8.99,259,119.06472
27.99,560,127.07006
40.99,686,136.910694
38.99,444,143.381775
21.99,571,216.787109
1098.99,260,220.495682
3376.99,581,228.85782
203.99,741,239.4291
34.99,472,246.220104
36.99,572,254.397764
24.99,504,261.581993
62.99,488,268.635801
17.99,449,298.328299
2.99,275,302.260467
44.99,815,313.933122
32.99,308,318.358506
19.99,359,323.428213
26.99,437,329.641144
28.99,384,335.073052
1651.99,1480,378.02232
78.99,293,382.199922
7.99,284,386.19889
32.99,274,390.249912
17.99,307,394.74168
44.99,605,403.489025
12.99,257,407.208971
104.99,638,416.546629
221.99,318,421.232943
320.99,1137,459.841011
151.99,1305,478.902487
116.99,597,487.689145
53.99,717,498.121157
2246.99,631,507.509153
54.99,434,514.276517
24.99,597,544.880838
2.99,254,548.468543
43.99,502,555.950959
47.99,499,563.105626
24.99,493,570.21315
1127.99,382,575.695309
3368.99,698,585.688212
123.99,572,593.851326
55.99,387,621.257509
60.99,884,633.821013
55.99,848,645.914809
2.99,258,649.642749
49.99,379,655.068332
42.99,628,663.988214
17.99,373,669.359336
64.99,1076,706.593464
1638.99,978,720.526622
-1.01,246,724.058382
8.99,373,729.34113
41.99,557,737.261014
39.99,582,745.613721
-1.01,191,748.343247
42.99,609,778.904975
14.99,673,788.461083
32.99,239,791.888517
16.99,180,794.432305
30.99,256,798.05123
50.99,418,803.983887
8.99,157,806.205043
45.99,325,810.891117
30.99,312,815.304775
15.99,280,819.208252
65.99,460,825.731336
50.99,283,829.804026
38.99,299,834.104369
28.99,217,858.891193
86.99,653,868.09304
28.99,367,873.30769
48.99,291,877.462291
33.99,405,883.265527
100.5,1046,898.130301
289.99,747,908.773916
256.99,476,915.651237
167.99,444,943.716277
12.99,491,950.766689
99.99,520,958.232499
111.99,581,966.504178
100.99,601,975.176089
2278.99,964,988.850992
59.99,414,994.826852
19.99,694,1025.782623
22.99,568,1033.873784
35.99,332,1038.559265
50.99,462,1045.111742
1165.99,797,1056.449136
3404.99,826,1068.307878
118.99,562,1097.462741
29.99,329,1102.16531
50.99,480,1108.998123
30.99,490,1115.994195
76.99,1117,1131.929899
25.99,477,1138.813285
47.99,513,1146.081049
35.99,377,1151.563181
32.99,349,1177.809675
1132.99,352,1182.814456
526.99,1380,1202.534536
40.99,367,1207.717882
47.99,857,1219.877057
39.99,582,1228.198457
26.99,460,1255.633986
26.99,466,1262.311267
28.99,265,1266.060039
62.99,266,1269.876784
69.99,418,1275.791737
1.99,158,1278.049833
9.99,565,1286.069098
19.99,248,1289.619052
-1.01,182,1292.210261
23.99,328,1296.865775
46.99,449,1303.313398
46.99,430,1309.461078
16.99,196,1312.265787
6.99,107,1334.598292
22.99,236,1337.946524
59.99,474,1344.702653
20.99,160,1346.952724
69.99,455,1353.456349
14.99,138,1355.417988
51.99,471,1362.172888
100.5,986,1376.254633
308.99,891,1392.508302
341.99,1105,1429.554328
72.99,336,1434.358242
64.99,262,1438.130714
87.99,375,1443.494843
83.99,334,1448.307904
28.99,725,1458.583624
2217.99,553,1466.461582
23.99,280,1470.41364
37.99,616,1500.110174
35.99,525,1507.601292
67.99,622,1516.502498
2.99,302,1520.782711
56.99,708,1530.880204
4496.99,685,1540.60102
144.99,757,1551.466304
36.99,415,1578.332213
40.99,595,1586.844155
