r,l,t
100.99,635,14.319885
200.99,306,18.967955
338.99,637,28.754575
-1.01,388,34.681967
57.99,680,44.550405
116.99,556,52.554118
159.99,1330,93.975156
2250.99,819,105.741348
28.99,360,110.972873
49.99,397,116.681629
35.99,345,121.676634
2.99,272,125.593907
44.99,305,129.993284
64.99,431,136.180748
1104.99,269,140.105655
3479.99,1235,223.075957
103.99,994,237.263052
35.99,574,245.511745
67.99,681,255.303592
35.99,476,262.111019
46.99,405,268.007241
56.99,360,296.416913
1636.99,1389,316.273987
33.99,543,323.991208
49.99,837,335.893626
34.99,606,344.527385
14.99,490,351.622273
4.99,679,383.068668
0.99,195,385.804387
4.99,197,388.771939
59.99,500,396.00627
0.99,239,399.516512
40.99,255,403.158976
51.99,306,407.651586
35.99,249,411.305933
27.99,458,417.927088
50.99,355,423.189068
8.99,140,425.183962
14.99,170,427.692707
46.99,275,431.79947
39.99,371,459.155854
47.99,395,465.008828
30.99,298,469.347236
65.99,469,476.241532
39.99,220,479.391252
54.99,396,485.126462
-1.01,259,488.983511
100.5,829,501.18936
114.99,610,510.330677
204.99,368,537.897581
184.99,420,543.847438
150.99,703,554.223833
109.99,454,560.747195
148.99,1233,578.390345
85.99,955,592.01666
2257.99,608,622.564434
26.99,337,627.361595
-1.01,490,634.38205
32.99,495,641.4817
18.99,476,648.287176
52.99,421,654.325345
30.99,542,662.054561
1121.99,362,667.23237
3356.99,591,675.784262
220.99,717,707.848945
92.99,407,713.645876
51.99,488,720.606272
59.99,1293,738.916894
58.99,1010,753.42317
25.99,408,781.032767
62.99,629,789.921461
34.99,503,797.10002
6.99,341,801.937571
16.99,286,805.995233
2.99,258,809.696859
1635.99,1256,827.448738
25.99,298,831.75173
37.99,873,865.787643
34.99,661,875.149195
34.99,671,884.806647
46.99,339,889.641958
14.99,465,896.232383
46.99,234,899.590504
56.99,424,905.58622
2.99,142,907.62306
26.99,202,910.556973
35.99,365,915.881478
15.99,419,943.596057
41.99,507,950.872748
37.99,357,956.033489
70.99,434,962.238484
5.99,173,964.780138
77.99,505,972.045552
44.99,199,974.913229
62.99,388,980.409621
42.99,461,986.928145
100.5,1081,1023.515514
368.99,1005,1037.808522
309.99,527,1045.272119
14.99,671,1054.836596
102.99,572,1063.082792
92.99,338,1067.871049
114.99,992,1103.084635
40.99,409,1108.952508
2222.99,402,1114.69119
10.99,258,1118.379148
34.99,797,1129.805985
33.99,561,1137.841786
28.99,333,1142.605531
34.99,375,1147.958587
23.99,565,1177.288331
14.99,373,1182.644092
4485.99,642,1191.862787
135.99,766,1202.811665
59.99,881,1215.333687
0.99,282,1219.309578
19.99,371,1224.622421
27.99,451,1231.088979
41.99,358,1257.05147
6.99,264,1260.836249
25.99,341,1265.659153
62.99,359,1270.788819
54.99,360,1275.840988
30.99,406,1281.614916
1125.99,371,1286.872329
524.99,1397,1306.749294
28.99,362,1311.991436
32.99,446,1339.160809
28.99,646,1348.344083
38.99,608,1356.958772
4.99,269,1360.889271
32.99,439,1367.160571
-1.01,170,1369.642982
-1.01,166,1371.999031
0.99,203,1374.9033
52.99,587,1383.30818
-1.01,258,1386.999011
2.99,337,1395.427824
62.99,334,1421.408642
-1.01,243,1424.898732
2.99,202,1427.781162
58.99,247,1431.338217
17.99,393,1436.985497
4.99,121,1438.759429
31.99,438,1445.047024
46.99,329,1449.764124
37.99,247,1453.309471
76.99,477,1460.096846
24.99,194,1462.867013
47.99,385,1468.316823
31.99,207,1471.256012
14.99,134,1473.195042
43.99,283,1498.164653
28.99,148,1500.300149
100.5,1225,1517.759505
252.99,800,1529.086328
402.99,712,1539.189673
74.99,1240,1577.83241
102.99,341,1582.757657
134.99,628,1591.662787
20.99,631,1600.651043
2219.99,642,1609.803819
54.99,355,1614.849164
-1.01,371,1620.048146
46.99,411,1625.921653
88.99,787,1658.102865
4.99,408,1663.885767
40.99,332,1668.589303
4460.99,645,1677.753502
136.99,700,1687.709675
48.99,780,1698.765589
55.99,343,1703.660932
54.99,753,1735.508611
68.99,821,1747.21655
57.99,322,1751.78588
48.99,617,1760.518451
4.99,258,1764.248582
23.99,347,1769.248161
1634.99,1045,1783.901025
-2.01,863,1817.192725
34.99,685,1827.064059
31.99,301,1831.369445
30.99,464,1838.055248
35.99,354,1843.179195
-1.01,423,1849.231424
0.99,707,1859.36701
59.99,297,1863.583646
0.99,158,1865.862168
46.99,478,1893.472645
0.99,223,1896.688585
66.99,336,1901.435297
4.99,221,1904.632946
57.99,288,1908.78987
42.99,655,1918.02462
22.99,218,1921.187517
38.99,353,1926.263299
28.99,235,1929.58617
43.99,363,1934.780713
61.99,551,1942.552805
33.99,342,1947.549087
18.99,192,1950.314049
44.99,438,1977.779263
53.99,341,1982.625354
-1.01,229,1985.973682
100.5,826,1997.733906
151.99,757,2008.52039
126.99,262,2012.320912
274.99,521,2019.766386
-1.01,398,2025.505642
157.99,1310,2065.091207
113.99,612,2073.71763
2326.99,1312,2092.264562
50.99,353,2097.337548
10.99,931,2131.549316
30.99,334,2136.227135
33.99,404,2142.021172
35.99,543,2149.74121
42.99,713,2159.969563
2313.99,360,2165.080696
2236.99,460,2171.618588
118.99,704,2181.60684
31.99,382,2187.113011
36.99,388,2213.539155
4.99,251,2217.091882
4.99,270,2220.882254
58.99,570,2228.960775
43.99,428,2235.041663
58.99,647,2244.231675
4.99,261,2247.99729
2.99,296,2252.237221
25.99,461,2258.902859
58.99,618,2288.744224
1117.99,350,2293.782648
520.99,1433,2314.243257
6.99,385,2319.849572
17.99,657,2329.181875
27.99,516,2336.610465
34.99,526,2344.062294
23.99,323,2369.620556
19.99,1031,2384.256489
0.99,325,2388.87596
-1.01,166,2391.198893
60.99,314,2395.713108
28.99,226,2398.955755
66.99,222,2402.162331
36.99,202,2405.07172
8.99,209,2408.062407
43.99,386,2413.672223
23.99,231,2417.03884
11.99,121,2418.785172
71.99,535,2447.296808
58.99,445,2453.678658
43.99,349,2458.609512
44.99,256,2462.263208
54.99,388,2467.766498
57.99,254,2471.455112
118.5,1317,2490.187948
342.99,1043,2505.067238
270.99,884,2538.487465
176.99,977,2552.38551
150.99,624,2561.225563
1134.99,972,2574.980298
1128.99,264,2578.774221
32.99,741,2610.397513
22.99,257,2614.0739
57.99,339,2618.840871
2.99,266,2622.615676
24.99,371,2627.922239
31.99,545,2635.647578
1098.99,282,2639.685083
3471.99,1177,2656.522187
31.99,428,2662.702008
43.99,675,2693.244139
50.99,949,2706.753551
-1.01,250,2710.373298
27.99,474,2717.195081
48.99,449,2723.659623
41.99,487,2730.620054
55.99,664,2740.156991
65.99,774,2771.975199
6.99,310,2776.387579
1622.99,1013,2790.809473
-1.01,533,2798.433776
59.99,1156,2814.885945
19.99,434,2821.064965
42.99,458,2848.428647
10.99,354,2853.445472
0.99,520,2860.908873
28.99,483,2867.764291
45.99,228,2871.011096
51.99,309,2875.446811
54.99,338,2880.355121
37.99,280,2884.348891
23.99,343,2889.310611
26.99,364,2894.482006
76.99,455,2901.059681
60.99,294,2926.005771
6.99,116,2927.699354
75.99,552,2935.590124
16.99,183,2938.23771
48.99,234,2941.643248
39.99,236,2945.01833
34.99,287,2949.088509
100.5,1077,2964.349566
244.99,797,2975.825602
400.99,1019,3011.174181
93.99,760,3022.07065
104.99,536,3029.657397
2363.99,1614,3052.887525
56.99,432,3059.106265
9.99,541,3089.151625
100.99,595,3097.619517
1145.99,777,3108.861721
3372.99,572,3117.248351
150.99,754,3127.975011
59.99,568,3136.162268
40.99,494,3164.13878
62.99,854,3176.393283
24.99,265,3180.163576
0.99,255,3183.816648
60.99,791,3195.139491
1730.99,1857,3242.376615
2.99,380,3247.702233
44.99,471,3254.421241
31.99,408,3260.229007
34.99,357,3265.377571
17.99,1139,3281.741127
44.99,277,3285.748414
46.99,277,3289.681179
46.99,240,3293.107178
36.99,188,3295.830445
8.99,222,3299.079702
54.99,249,3323.712051
20.99,261,3327.530078
58.99,340,3332.39753
77.99,271,3336.261483
58.99,290,3340.43912
18.99,154,3342.619211
42.99,238,3345.982618
41.99,273,3349.953696
36.99,208,3352.897587
36.99,204,3355.830982
-1.01,177,3358.377775
100.5,977,3372.286379
471.99,1262,3411.319432
142.99,763,3422.139955
220.99,1092,3437.652329
2328.99,1343,3456.820668
36.99,321,3482.277514
18.99,260,3485.982375
33.99,407,3491.781103
22.99,371,3496.993742
18.99,439,3503.251979
33.99,886,3515.728044
26.99,512,3522.990151
16.99,351,3528.00467
4506.99,625,3557.839954
142.99,920,3570.902362
19.99,338,3575.691318
11.99,275,3579.648455
67.99,624,3588.590415
45.99,616,3597.348067
44.99,661,3606.761611
61.99,331,3611.539572
6.99,248,3615.122014
62.99,643,3645.076573
34.99,341,3649.97815
1637.99,1615,3672.951486
43.99,678,3682.616695
38.99,453,3689.097145
34.99,455,3716.436027
9.99,364,3721.592697
-1.01,511,3728.888275
24.99,473,3735.629539
36.99,294,3739.8512
44.99,278,3743.883226
58.99,243,3747.363564
284.99,784,3758.390239
368.99,617,3767.229431
10.99,665,3797.80981
122.99,658,3807.191068
99.99,351,3812.232502
76.99,283,3816.245735
17.99,744,3826.913658
2261.99,893,3839.701622
30.99,555,3847.624494
2.99,260,3851.366356
26.99,433,3878.357919
56.99,672,3887.906368
36.99,411,3893.737071
1169.99,544,3901.478546
3372.99,574,3909.629417
255.99,759,3920.437434
124.99,388,3925.852204
134.99,967,3960.452831
35.99,361,3965.66954
49.99,395,3971.289058
32.99,509,3978.529526
1676.99,1742,4003.151777
68.99,1037,4038.784676
33.99,658,4048.174923
27.99,575,4056.370721
2.99,717,4066.605514
32.99,288,4070.698847
28.99,206,4073.683185
28.99,475,4080.459065
32.99,378,4085.92606
64.99,337,4111.501636
28.99,249,4115.121878
16.99,191,4117.872178
26.99,441,4124.135519
60.99,395,4129.736665
45.99,498,4136.886551
49.99,530,4144.469502
36.99,174,4147.003583
75.99,313,4151.437185
31.99,355,4156.389426
66.99,506,4163.590668
100.5,1069,4199.637872
190.99,811,4211.19344
401.99,722,4221.47091
38.99,767,4232.372316
128.99,648,4241.494273
158.99,890,4275.088945
2240.99,969,4288.78954
56.99,410,4294.69898
8.99,770,4305.647127
43.99,402,4311.394998
37.99,358,4316.519315
1168.99,841,4349.400268
3329.99,577,4357.679841
142.99,771,4368.662649
48.99,397,4374.365379
60.99,544,4382.051228
4.99,272,4385.890488
41.99,360,4391.082357
60.99,567,4399.133031
36.99,342,4404.071342
37.99,485,4431.963778
66.99,1294,4450.354837
1628.99,1125,4466.428744
0.99,402,4472.315118
46.99,591,4480.750534
37.99,425,4507.761863
47.99,1050,4522.72479
16.99,458,4529.263101
50.99,272,4533.240024
44.99,263,4537.003896
52.99,300,4541.370253
48.99,176,4543.938716
6.99,163,4546.265548
44.99,364,4551.454352
56.99,375,4556.785984
27.99,169,4559.234464
56.99,327,4563.972774
37.99,311,4589.616274
63.99,444,4595.946478
56.99,271,4599.895538
13.99,231,4603.229228
32.99,195,4606.014426
18.99,288,4610.136514
100.5,1066,4625.266262
372.99,836,4637.181407
158.99,301,4641.506142
174.99,579,4670.948749
51.99,369,4676.225158
125.99,409,4682.146882
85.99,425,4688.257505
2273.99,1354,4707.559226
52.99,345,4712.557355
0.99,658,4722.042371
6.99,295,4747.390347
35.99,402,4753.167107
41.99,686,4762.971129
21.99,472,4769.774071
-1.01,264,4773.57044
2.99,273,4777.455569
8.99,352,4782.537889
1134.99,766,4793.588887
3485.99,837,4826.601533
73.99,515,4833.963502
36.99,449,4840.388122
33.99,794,4851.813247
99.99,1053,4866.855908
63.99,374,4872.439112
10.99,417,4878.408774
65.99,772,4910.577679
4.99,319,4915.114641
1669.99,1836,4941.432045
51.99,441,4947.829191
23.99,355,4952.962279
50.99,344,4957.878318
-1.01,956,4992.829961
38.99,302,4997.187051
58.99,205,5000.137566
52.99,353,5005.333571
46.99,374,5010.683119
38.99,362,5015.839928
38.99,401,5021.756516
41.99,245,5025.287816
49.99,361,5030.468302
59.99,355,5035.53602
69.99,544,5043.425703
13.99,129,5066.117979
68.99,421,5072.109554
55.99,406,5078.044121
100.5,1046,5092.814148
248.99,756,5103.675494
222.99,466,5110.299216
194.99,952,5144.857134
136.99,728,5155.276774
97.99,325,5159.961495
2306.99,1258,5177.78819
56.99,433,5183.979607
-1.01,358,5189.117724
32.99,497,5196.279299
0.99,269,5200.246375
36.99,432,5227.379922
1184.99,871,5239.788415
3341.99,564,5247.826355
205.99,811,5259.283786
164.99,2183,5311.103963
8.99,288,5315.215915
133.99,1812,5340.962513
1689.99,1272,5359.202159
16.99,881,5392.769229
36.99,418,5398.739128
36.99,309,5403.217586
46.99,1224,5420.545988
68.99,286,5424.639123
48.99,251,5428.178041
26.99,396,5433.844755
36.99,307,5438.284067
42.99,235,5465.692446
60.99,569,5473.759795
52.99,245,5477.273737
12.99,132,5479.166332
18.99,187,5481.835413
68.99,448,5488.215714
26.99,357,5493.343532
38.99,202,5496.272845
47.99,294,5500.499136
36.99,194,5503.287414
39.99,318,5507.736197
100.5,1077,5543.965347
72.99,523,5551.43189
304.99,512,5558.699714
200.99,331,5563.366713
72.99,401,5569.134384
98.99,956,5582.762899
102.99,413,5588.652329
108.99,481,5595.497498
2246.99,1174,5633.138274
56.99,397,5638.769612
-1.01,284,5642.803048
26.99,521,5650.237573
38.99,390,5655.838206
27.99,387,5661.336182
39.99,541,5668.997537
2231.99,500,5676.146426
2213.99,448,5703.366129
154.99,1226,5720.832886
130.99,1579,5743.156976
80.99,894,5755.898165
48.99,575,5785.158864
88.99,1357,5804.526803
1631.99,1362,5823.9111
63.99,1013,5838.285512
29.99,373,5864.481492
38.99,715,5874.688318
-1.01,142,5876.73929
10.99,369,5881.998692
18.99,213,5885.12285
64.99,261,5888.795669
45.99,270,5892.688278
52.99,278,5896.674942
30.99,230,5900.020209
24.99,237,5903.390266
52.99,347,5908.364482
71.99,296,5912.613553
51.99,323,5917.229023
63.99,394,5943.819107
50.99,520,5951.239304
51.99,344,5956.13049
41.99,337,5960.918962
100.5,1073,5976.094471
278.99,780,5987.102196
370.99,633,5996.096046
2.99,724,6027.246185
107.99,497,6034.28165
89.99,346,6039.222145
91.99,336,6043.982903
2257.99,1184,6060.820971
41.99,400,6066.509289
9.99,404,6072.215802
42.99,339,6097.984791
27.99,439,6104.291696
83.99,768,6115.204691
1177.99,329,6119.978201
3330.99,488,6126.958938
226.99,771,6137.910945
97.99,1261,6176.61557
34.99,675,6186.192007
48.99,372,6191.43725
145.99,1842,6217.678942
1678.99,1952,6266.014081
48.99,1106,6281.813569
34.99,630,6290.670711
18.99,1142,6306.930275
30.99,243,6310.400653
-1.01,161,6312.733563
28.99,371,6338.972806
40.99,324,6343.579417
56.99,260,6347.260007
17.99,177,6349.831241
91.99,587,6358.230493
57.99,562,6366.351036
24.99,211,6369.3348
12.99,151,6371.476643
67.99,443,6377.751065
