r,l,t
-10.01,607,9.754663
-10.01,618,17.784532
-10.01,609,25.865188
-10.01,922,36.98215
-8.02,2479,86.525715
-10.01,983,98.384794
-10.01,738,107.0252
-10.01,882,117.282404
-10.01,704,145.292979
-10.01,1000,156.932573
-10.01,673,164.918095
-10.01,718,173.298509
-10.01,1062,185.649681
-10.01,594,212.351598
-10.01,727,220.825658
-10.01,726,229.245166
-10.01,868,239.327975
-10.01,646,246.816797
-10.01,677,254.669629
-10.01,950,285.79449
-10.01,1149,300.926311
-10.01,731,310.317254
-20.02,1486,349.702943
-10.01,738,359.394535
-10.01,881,370.80115
-10.01,979,383.030912
-10.01,991,395.48808
-20.02,1173,429.133152
-10.01,699,438.44002
-10.01,1081,452.642758
-10.01,737,462.432529
-10.01,653,470.644318
-10.01,833,499.227646
-10.01,735,508.498842
-10.01,718,517.690176
-10.01,594,525.123657
-10.01,672,533.24775
-10.01,745,560.653052
-10.01,679,569.178994
-10.01,847,579.623711
-10.01,1005,591.944991
-10.01,988,604.831762
-10.01,681,631.874798
-10.01,990,643.94114
-10.01,876,654.490306
-10.01,957,666.306875
-10.01,642,673.918351
-10.01,607,699.694281
-10.01,745,708.992262
-10.01,1202,724.233391
-10.01,853,734.904936
-10.01,679,743.592098
-10.01,736,771.722584
-10.01,764,781.364588
-10.01,758,790.856262
-10.01,814,801.174156
-10.01,1098,815.035665
-10.01,1254,849.30463
-10.01,742,858.110491
-10.01,1069,871.760113
-10.01,1167,886.418189
-10.01,745,914.452803
-10.01,637,922.473001
-10.01,664,930.797823
-10.01,974,942.152505
-10.01,643,949.717886
-10.01,1156,981.826444
-10.01,736,990.84091
-10.01,746,999.750522
-10.01,859,1009.826286
-10.01,1142,1024.048842
-10.01,935,1055.123806
-10.01,1211,1069.716429
-10.01,753,1079.705946
-10.01,662,1088.172385
-10.01,684,1115.912844
-10.01,741,1124.693828
-10.01,754,1133.513604
-10.01,725,1142.284949
-10.01,1169,1157.189094
-10.01,737,1184.923979
-10.01,1388,1202.272324
-10.01,1164,1216.356025
-10.01,749,1225.224931
-10.01,1000,1256.513047
-10.01,737,1265.711705
-10.01,927,1277.55192
-10.01,650,1285.742503
-10.01,656,1294.011554
-10.01,1173,1327.261061
-10.01,731,1335.866581
-10.01,1046,1348.66101
-10.01,912,1359.443086
-10.01,671,1367.386623
-10.01,911,1397.435895
-10.01,633,1404.985045
-10.01,803,1414.562671
-10.01,745,1423.774658
-10.01,994,1435.757931
-10.01,755,1463.943334
-10.01,969,1475.828988
-10.01,740,1484.593379
-10.01,676,1492.835201
-10.01,731,1501.459947
-10.01,709,1528.728767
-10.01,747,1538.009203
-10.01,670,1546.21662
-10.01,588,1553.091502
-10.01,1124,1567.014168
-10.01,742,1576.295637
-10.01,745,1603.977037
-10.01,729,1612.763879
-10.01,1030,1626.382379
-10.01,749,1636.088952
-10.01,1369,1672.080301
-10.01,739,1681.934199
-10.01,986,1694.118276
-10.01,1068,1707.244828
-10.01,990,1738.738547
-10.01,740,1747.694534
-10.01,744,1756.843112
-10.01,604,1764.541339
-10.01,1065,1778.021052
-10.01,619,1785.698156
-10.01,1567,1824.1694
-10.01,1365,1841.298228
-10.01,668,1849.525473
-10.01,627,1857.271162
-10.01,616,1883.284648
-10.01,966,1894.997607
-10.01,1030,1907.666439
-10.01,732,1916.921433
-10.01,1180,1950.755894
-10.01,741,1960.02505
-10.01,1000,1972.625892
-20.02,1830,1995.538263
-10.01,597,2021.733948
-10.01,990,2033.664155
-10.01,994,2046.50092
-10.01,667,2054.969595
-10.01,759,2064.150409
-10.01,746,2092.33726
-10.01,681,2100.870547
-10.01,640,2108.48388
-10.01,634,2116.375042
-10.01,649,2124.255218
-10.01,733,2133.530638
-10.01,989,2164.45576
-10.01,984,2176.585295
-10.01,727,2185.21222
-10.01,1080,2198.565315
-10.01,912,2227.9605
-10.01,602,2235.2933
-10.01,833,2245.294606
-10.01,707,2253.807997
-10.01,745,2262.960994
-10.01,760,2272.290298
-10.01,710,2299.421858
-10.01,736,2308.650599
-10.01,710,2317.326134
-10.01,1380,2334.041146
-10.01,750,2362.433207
-10.01,637,2370.360662
-10.01,745,2379.385016
-10.01,747,2388.283648
-10.01,636,2396.743918
-10.01,811,2407.234184
-10.01,824,2436.589856
-10.01,838,2446.971669
-10.01,766,2456.178471
-10.01,1153,2470.703375
-10.01,607,2478.679471
-10.01,637,2505.113445
-10.01,684,2514.081364
-10.01,615,2521.954768
-10.01,609,2529.498009
-10.01,971,2541.84285
-10.01,988,2573.8176
-10.01,1061,2586.557077
-10.01,1150,2600.314536
-10.01,759,2610.294846
-10.01,736,2619.297537
-10.01,1393,2655.065039
-10.01,1164,2669.742713
-10.01,631,2677.577302
-10.01,675,2686.701043
-20.02,2357,2734.340978
-10.01,624,2741.757349
-20.02,2188,2788.769355
-10.01,753,2798.481795
-20.02,1730,2820.292638
-10.01,993,2851.08896
-10.01,733,2860.458733
-10.01,672,2868.743178
-20.02,1537,2888.621047
-10.01,873,2899.412959
-10.01,605,2925.609325
-10.01,687,2933.908818
-10.01,611,2941.402797
-10.01,922,2952.478557
-10.01,731,2961.399973
-10.01,625,2969.088941
-10.01,1817,3010.821215
-10.01,635,3018.233627
-10.01,597,3025.341021
-10.01,905,3036.289596
-10.01,644,3063.501037
-10.01,1328,3079.767127
-10.01,1718,3101.490513
-10.01,662,3109.584546
-10.01,726,3137.39372
-10.01,1138,3151.71416
-10.01,906,3162.990509
-20.02,1777,3204.78902
-10.01,970,3216.483018
-10.01,649,3224.181009
-10.01,863,3234.626814
-10.01,976,3247.033617
-10.01,614,3273.282291
-10.01,742,3282.098505
-10.01,1004,3294.126628
-10.01,1118,3307.862475
-10.01,750,3316.958174
-10.01,1001,3348.296952
-16.02,2336,3377.183721
-10.01,978,3408.042384
-10.01,1744,3429.381626
-10.01,635,3437.127309
-10.01,1136,3450.63584
-10.01,638,3477.173959
-10.01,1002,3492.786334
-10.01,633,3502.672208
-10.01,634,3512.477769
-10.01,1068,3526.097169
-10.01,2339,3572.996229
-10.01,655,3580.604233
-10.01,1011,3592.30147
-10.01,1082,3624.690705
-10.01,902,3635.25458
-10.01,746,3643.890295
-10.01,859,3653.886085
-10.01,975,3665.339983
-10.01,636,3692.994509
-10.01,956,3704.108812
-10.01,1729,3724.189063
-10.01,649,3731.757038
-10.01,703,3759.871396
-10.01,617,3767.061007
-10.01,1154,3780.530633
-10.01,1372,3796.433578
-10.01,635,3823.751334
-10.01,676,3831.589546
-10.01,745,3840.371888
23.98,2364,3868.041843
-10.01,597,3895.26493
-10.01,666,3903.046357
-10.01,688,3911.014809
-10.01,844,3920.784201
-10.01,757,3929.671523
-10.01,656,3937.298598
-10.01,725,3965.915205
-10.01,1103,3978.764017
-10.01,727,3987.266278
-10.01,832,3996.971181
-10.01,727,4005.481901
-10.01,900,4035.868474
1.99,2370,4063.847005
-10.01,746,4072.658366
-10.01,606,4099.114311
-10.01,666,4106.866537
-10.01,631,4114.325713
-10.01,992,4125.998955
-10.01,1556,4164.225088
-10.01,2351,4191.626753
-10.01,947,4202.803728
-10.01,722,4231.254303
-10.01,643,4238.786316
-10.01,1173,4252.324991
-10.01,990,4263.890279
-10.01,992,4275.395695
-20.02,1862,4316.786684
-10.01,988,4328.337938
-20.02,2371,4375.798825
-10.01,679,4383.74028
-10.01,1079,4396.359843
-10.01,1138,4409.618687
-10.01,976,4441.067868
-20.02,1593,4459.513037
-10.01,719,4467.863961
-20.02,1681,4507.360989
-10.01,755,4516.116851
-10.01,758,4525.054564
-10.01,979,4536.497829
-10.01,1068,4568.811532
-10.01,753,4577.484389
-10.01,883,4587.838848
-10.01,748,4596.507716
-10.01,678,4604.366552
-10.01,1120,4637.434226
-10.01,633,4644.825024
-20.02,1492,4662.24069
-10.01,648,4669.788706
-10.01,1357,4705.705019
-10.01,1152,4719.193884
-10.01,2342,4746.394163
-10.01,712,4774.588537
-10.01,2178,4799.987866
-20.02,1136,4813.144135
-10.01,756,4841.947664
-10.01,1514,4859.665204
-10.01,755,4868.471797
-10.01,1352,4884.088204
-10.01,860,4914.094848
-10.01,1126,4927.256097
-10.01,704,4935.381001
-20.02,2322,4982.684979
-20.02,1298,4997.763829
-10.01,711,5006.079184
-10.01,887,5016.495104
-10.01,746,5045.117077
-20.02,1730,5065.159692
-10.01,1180,5079.039687
-10.01,1089,5111.706815
-20.02,2352,5138.946644
-10.01,751,5147.666469
-10.01,846,5177.609155
-2.01,2323,5204.697638
-10.01,653,5212.297716
-10.01,715,5220.675912
-10.01,984,5252.193597
-10.01,749,5260.865041
-10.01,1088,5273.486452
-10.01,2313,5320.281055
-10.01,716,5328.575586
-10.01,1147,5341.976192
-10.01,899,5352.379358
-20.02,2313,5399.205014
-10.01,1765,5419.572515
-10.01,923,5450.206836
-10.01,641,5457.576754
-10.01,2343,5484.693932
-10.01,2350,5532.162818
-10.01,1841,5553.54108
-10.01,1177,5587.177443
-10.01,618,5594.35457
-10.01,643,5601.834444
-6.01,2338,5648.886634
-10.01,655,5656.495554
-10.01,731,5665.022771
-10.01,642,5672.546268
-10.01,804,5681.939287
-10.01,639,5689.686186
