r,l,t
-10.01,836,12.745981
-10.01,744,22.572765
-10.01,685,30.804317
-10.01,705,39.847553
-10.01,733,49.032561
-10.01,1188,82.40821
-10.01,620,89.888188
-10.01,621,97.295462
-10.01,748,106.066609
-10.01,719,114.398514
-10.01,741,142.84453
-10.01,967,154.142257
-10.01,548,160.527128
-10.01,595,167.570583
-20.02,1604,186.181555
-10.01,756,214.724095
99.98,2454,243.237103
-20.02,1860,284.856285
-10.01,1364,302.824755
-10.01,1087,316.227636
-10.01,1159,351.705833
-10.01,975,364.188575
-10.01,1188,379.43154
-10.01,824,389.715048
-10.01,777,399.616701
-20.02,1731,440.90555
-10.01,836,451.94557
-10.01,632,460.287998
-10.01,1202,493.634067
-10.01,749,502.778808
-10.01,871,513.966285
-10.01,814,524.26476
-10.01,978,536.000117
-10.01,759,563.685188
-10.01,1160,578.243036
-10.01,1147,592.258461
-10.01,1160,607.252845
-10.01,638,633.699013
-10.01,736,642.65374
-10.01,876,653.155919
-10.01,754,662.604997
-20.02,1333,678.503473
-10.01,725,705.919544
-10.01,762,715.386751
-10.01,800,725.63578
-10.01,995,738.287834
-10.01,1110,771.130848
-10.01,848,781.795151
-10.01,985,794.347483
-10.01,642,802.352963
-10.01,751,811.939981
-10.01,769,840.599462
-10.01,760,849.561326
-10.01,983,861.368982
-10.01,733,870.831501
-10.01,637,878.879388
-10.01,747,888.218746
-10.01,935,918.536847
-10.01,746,928.027955
-10.01,987,939.705077
-10.01,967,950.994157
-10.01,1154,983.086882
-10.01,852,993.446512
-10.01,987,1005.203176
-10.01,983,1016.846587
-10.01,732,1045.903264
-10.01,1206,1060.504896
-10.01,754,1069.665656
-10.01,966,1082.386666
-10.01,1053,1096.143593
-10.01,749,1123.732368
-10.01,772,1132.808538
-10.01,670,1140.912962
-10.01,1268,1156.954752
-10.01,662,1183.660489
-10.01,643,1191.806047
-10.01,1251,1207.374702
-10.01,662,1215.296839
-10.01,970,1226.853935
-10.01,744,1255.060754
-10.01,704,1263.727417
-10.01,915,1275.341687
-10.01,749,1284.855116
-10.01,739,1294.142417
-10.01,733,1303.372562
-10.01,657,1329.938334
-10.01,747,1338.816672
-10.01,692,1347.267587
-10.01,981,1358.944963
-10.01,736,1367.695901
-10.01,846,1396.951877
-10.01,711,1405.431623
-10.01,688,1413.611989
-10.01,629,1421.436742
-10.01,1073,1434.379527
-10.01,1056,1466.123076
-10.01,1070,1479.213035
-10.01,793,1488.729237
-10.01,706,1497.180885
-10.01,974,1527.34116
-10.01,738,1536.717041
-10.01,638,1544.676958
-10.01,752,1553.415617
-10.01,702,1562.048943
-20.02,1559,1599.765286
-10.01,748,1609.107789
-10.01,835,1619.728143
-10.01,711,1629.170874
-10.01,753,1639.058789
-10.01,650,1647.145034
-10.01,751,1675.423867
-10.01,915,1687.291617
-10.01,985,1699.319492
-10.01,1091,1713.227019
-10.01,1331,1748.278532
-10.01,984,1760.571944
-10.01,1162,1775.269082
-10.01,734,1784.380569
-10.01,638,1811.043512
-20.02,1540,1830.843935
-10.01,882,1841.565325
-10.01,1057,1854.657476
-10.01,696,1881.686942
-10.01,578,1888.711015
-10.01,985,1900.663426
-10.01,892,1912.069929
-10.01,1208,1945.944798
-10.01,732,1954.940152
-10.01,1163,1969.743585
-10.01,651,1978.11195
-10.01,1096,1991.865133
-10.01,940,2022.113102
-10.01,917,2033.166956
-10.01,669,2041.695551
-10.01,757,2051.44741
-10.01,743,2060.734561
-10.01,973,2091.49186
-10.01,755,2101.005952
-10.01,730,2109.836903
-10.01,642,2117.680824
-10.01,988,2129.844335
-10.01,751,2157.954393
-10.01,751,2167.255797
-10.01,1538,2185.792608
-10.01,703,2194.658499
-10.01,1042,2225.689767
-10.01,821,2235.583505
-10.01,963,2247.130641
-10.01,744,2256.252387
-20.02,1307,2272.16278
-10.01,995,2302.732474
-10.01,714,2311.776788
-10.01,919,2322.99294
-10.01,752,2332.043838
-10.01,730,2341.216884
-10.01,740,2369.267441
-10.01,942,2380.716373
-10.01,731,2389.391993
-10.01,738,2399.440801
-10.01,1677,2439.532519
-10.01,992,2451.731854
-10.01,823,2461.965286
-10.01,1109,2476.103433
-10.01,979,2506.924514
-10.01,1175,2522.139544
-10.01,882,2533.080498
-10.01,746,2542.617435
