r,l,t
695.92,4880,81.994013
423.92,3638,144.601668
1063.92,5220,225.186226
735.92,5234,308.567509
887.92,5709,419.954007
733.92,5078,503.725606
1075.92,4992,584.054927
1047.92,5347,668.757293
1075.92,5418,773.451751
659.92,4200,845.169014
1055.92,5013,926.161945
669.93,3736,989.003893
1063.92,5073,1070.05399
1051.92,5061,1152.245996
887.92,5536,1257.490989
1117.93,5204,1340.737519
305.93,3143,1397.44155
1097.93,5050,1477.488145
703.92,4584,1551.435341
715.92,4407,1624.906634
1095.92,4979,1706.51438
1081.93,5198,1808.996022
1083.92,5204,1892.136686
1083.92,5115,1975.099894
1101.92,5105,2057.492154
887.92,4651,2133.628033
887.92,4613,2227.090036
887.92,4693,2302.514587
1113.93,5410,2387.723541
1117.93,4588,2464.603531
1067.92,4735,2543.180577
1229.93,5837,2653.320713
1067.92,5340,2738.625425
735.92,4507,2814.739263
1289.92,5388,2901.221938
1103.92,4704,2995.786238
1091.92,4863,3074.580135
389.93,3261,3134.041975
1091.92,4664,3211.623539
1089.93,4540,3285.456038
1075.92,4961,3365.492217
1107.92,4957,3444.445985
1063.92,5323,3555.109327
1107.92,4863,3631.764593
887.92,4780,3707.651969
1099.92,4819,3783.604148
1113.93,4541,3856.353979
1111.92,4653,3930.882032
659.92,3793,3995.287185
1121.93,4453,4067.441799
1071.92,4653,4161.402105
1083.92,4739,4236.828928
1143.92,5928,4325.423093
887.92,4439,4397.007852
1099.92,5503,4500.939069
707.92,4278,4570.634441
1115.92,4911,4647.773636
1117.92,5586,4732.835485
1075.92,4833,4809.053943
1091.92,5475,4912.740738
669.93,3450,4973.096661
1101.93,4992,5051.261856
739.92,4248,5120.586202
1175.92,5431,5203.801774
1113.93,5611,5289.224941
1111.92,4924,5386.058838
2367.92,7763,5515.888767
1125.93,4892,5592.603336
1109.93,4558,5665.419517
1105.93,4815,5741.815357
1161.92,5471,5825.473123
1105.93,5168,5925.03875
1065.93,4614,5998.595462
1103.92,4553,6071.608823
1107.920005,5048,6150.116646
1071.93,4406,6221.208687
1111.92,4873,6297.621956
1091.92,4904,6394.726658
659.92,3637,6436.937871
1115.92,5032,6535.314487
1063.92,4805,6611.324537
1087.92,4560,6684.351179
1081.93,4797,6759.754207
1077.919998,5313,6841.281889
1219.92,5718,6947.706263
1079.92,4865,7024.029809
1037.93,4460,7095.803513
1211.93,5819,7203.366393
1169.93,5425,7286.097867
1207.92,5350,7368.091281
2127.92,6860,7487.624818
1103.92,5068,7566.554906
1109.93,4744,7641.305099
1043.92,4760,7716.690419
1207.93,5185,7816.505861
1089.93,5314,7898.12727
1071.92,4863,7974.50896
1261.93,5636,8079.938209
1069.93,4937,8157.010569
1125.93,4969,8234.581995
1129.93,5355,8316.922461
1145.93,5592,8421.689521
1083.92,5276,8502.835058
1097.93,4992,8580.706287
887.92,4769,8655.779438
897.93,4947,8753.140563
1091.92,5404,8835.754163
1123.92,5319,8917.387691
1179.92,5834,9025.411414
