r,l,t
519.990031,1620,29.896426
463.990031,1051,50.176601
487.990031,964,69.637465
420.990031,649,82.945775
492.990031,982,102.60782
444.990031,1745,132.781788
525.990031,1639,163.762782
430.990031,892,180.268193
60.99,769,194.929377
507.99003,870,207.551068
446.990031,1558,237.276112
474.990031,1539,263.237358
17.99,1213,287.914599
419.990031,868,300.365494
472.99003,1915,334.985225
578.990031,2214,377.863835
541.990031,3051,432.766216
460.99003,706,442.933561
449.990031,679,456.374265
491.99003,1079,475.606214
516.990031,1029,493.985626
518.99003,919,510.872094
492.99003,1092,530.027001
466.99003,1221,551.412098
478.99003,980,569.164938
509.99003,849,584.957692
535.99003,1378,608.459935
489.99003,964,626.040715
448.99003,698,639.679767
456.99003,910,656.208199
446.99003,1153,676.397709
21.99,996,694.41127
438.99003,715,708.391016
457.99003,1013,726.649572
487.99003,1293,748.773763
483.99003,785,763.785981
499.99003,1501,789.102691
497.99003,1553,818.962068
497.990031,1525,844.705765
489.99003,777,859.561798
495.99003,797,874.885771
13.99,465,881.600134
519.99003,2875,934.045568
463.99003,722,948.216064
501.99003,792,959.634774
512.99003,888,975.959887
499.99003,691,989.442816
516.99003,2592,1034.154833
511.99003,1411,1061.882375
493.99003,886,1078.314183
474.99003,747,1089.038155
500.99003,1079,1108.363237
517.99003,1580,1138.554668
523.99003,788,1153.609316
510.99003,1639,1180.887738
519.99003,2415,1226.672231
452.99003,670,1236.271548
511.99003,1694,1268.228225
996.99003,2866,1320.359159
538.99003,892,1336.851019
502.99003,2081,1374.225446
493.99003,784,1389.266471
613.99003,2203,1428.086019
606.99003,1429,1452.273638
510.99003,1355,1475.250309
510.99003,1161,1499.33377
518.99003,1187,1520.143683
592.99003,1955,1555.351553
966.99003,4385,1632.929738
511.99003,1199,1653.726234
533.99003,769,1668.472382
998.99003,1326,1691.165573
987.99003,1220,1712.284691
746.99003,944,1729.427899
688.99003,1209,1750.326805
825.990031,1455,1778.586464
602.99003,1050,1797.225677
516.99003,890,1813.593816
939.99003,1308,1836.006056
481.99003,810,1851.314429
472.99003,1071,1870.405961
501.99003,1010,1888.491718
493.99003,742,1902.851101
529.99003,912,1915.945861
90.99,868,1932.066532
508.99003,1060,1951.039815
955.99003,1578,1980.85388
998.99003,1272,2002.628911
980.99003,1244,2024.087349
508.99003,685,2037.701501
969.99003,906,2054.294555
489.99003,619,2063.349553
780.99003,928,2080.364618
515.99003,664,2093.56819
932.99003,2540,2140.927722
611.99003,824,2152.627375
505.99003,733,2166.85761
