r,l,t
486.98003,1663,30.869419
480.980031,2157,72.691322
517.980031,1420,102.44224
472.980031,2645,149.387754
461.980031,1658,180.53006
485.980031,2141,218.613209
136.98,2627,263.89762
491.980035,2392,309.098286
550.98003,1880,343.148159
577.98003,2481,386.344468
614.980031,1746,418.846466
535.98003,1549,444.694906
52.98,1463,473.156591
536.980031,3106,528.505124
479.98003,2500,571.901975
489.98003,2724,621.973647
471.98003,2003,657.800923
498.98003,1520,683.353261
528.98003,1193,704.107472
498.98003,3768,772.746831
673.98003,6963,898.871544
515.98003,1258,920.793226
488.98003,1693,952.674497
511.98003,1792,985.597496
523.98003,1602,1012.335569
516.98003,1976,1048.302756
504.98003,4448,1126.971786
511.98003,1896,1161.645379
508.98003,2288,1205.865251
507.98003,1433,1229.975659
528.98003,2834,1281.936315
993.98003,3474,1342.858305
520.98003,1052,1361.73954
506.98003,1238,1383.189229
617.98003,2204,1422.128295
664.98003,3308,1484.106414
552.98003,1767,1513.258789
851.98003,1557,1542.920566
692.98003,1523,1568.353307
621.98003,1865,1602.403953
971.98003,2165,1640.827655
530.98003,1949,1676.223723
991.98003,1512,1705.19986
774.98003,1531,1730.616797
17.98,975,1748.210523
950.98003,1505,1777.147768
978.98003,1434,1801.253812
898.98003,1658,1832.354755
895.98003,1206,1853.3887
1440.980061,1834,1886.97493
805.98003,1417,1910.929953
1126.980044,1607,1941.506978
589.98003,2430,1983.566818
618.98003,3588,2049.521566
521.98003,2152,2087.831054
983.98003,1512,2113.220033
883.98003,1219,2134.380338
987.98003,1306,2160.419603
1496.980061,1919,2191.683275
1416.980061,1960,2227.170838
989.98003,1533,2256.608784
976.98003,1589,2283.085237
710.98003,1561,2312.823936
981.98003,1298,2335.085831
977.98003,1201,2356.254672
977.98003,1390,2383.553669
909.98003,1694,2411.723117
990.98003,1529,2440.860433
982.98003,1381,2464.163606
934.98003,1838,2498.028758
882.98003,1487,2526.784557
959.98003,1726,2555.251845
1394.980061,1247,2577.12776
987.98003,1142,2600.766096
1114.980044,1790,2630.204743
1442.980063,1564,2660.125739
949.98003,3120,2715.931256
1411.980061,1322,2738.794012
1269.98006,1230,2760.155257
1510.980065,2091,2797.456357
1485.980061,2831,2849.219032
1421.980061,1369,2872.611054
1410.980063,1604,2902.959502
1429.980061,1172,2923.423985
1442.980064,1268,2945.431872
1454.980061,1281,2971.127922
1388.980061,2469,3014.037737
1497.980061,1468,3042.369347
1455.980061,1449,3067.074651
1442.980061,2114,3104.733335
983.98003,1087,3123.861411
1443.980061,1377,3147.515244
1430.980063,1450,3175.841214
1413.980061,1306,3198.192603
1406.980061,1216,3219.39196
1464.980061,2366,3264.554209
1473.980061,1611,3291.291959
1469.980061,1825,3325.203964
1480.980061,2067,3362.270321
1456.980061,1200,3383.190964
1484.980061,1418,3410.978041
1449.980062,1793,3440.509859
1535.980061,1656,3471.634827
878.98003,1029,3490.192262
1400.980061,1256,3511.914349
1556.980061,1692,3543.561784
1502.980059,1760,3576.30391
1499.980061,2142,3614.259467
1411.980061,1335,3637.097277
1465.980061,1592,3667.261408
1468.980061,1389,3690.933087
1391.980061,1562,3717.121636
1525.980064,1950,3752.78002
1521.980061,1337,3779.695924
1557.980063,2275,3819.760929
1483.980061,1245,3841.258709
1414.98006,1425,3865.439054
1471.980061,1137,3889.095083
1426.980061,1619,3916.008453
1436.980061,1513,3945.010581
1485.980061,1247,3966.735612
1453.980061,1276,3988.815432
1456.980061,1250,4010.475973
1493.980061,1215,4031.643269
1444.980061,1308,4057.894052
1427.980061,1407,4081.639513
1470.980061,1373,4105.192507
928.98003,19977,4466.017372
1476.980061,1478,4490.86476
1435.980061,1433,4518.798319
1556.980061,1766,4551.546978
1516.980061,1245,4573.154313
1492.980061,1266,4595.041048
1522.980061,1675,4626.480108
1450.980061,1435,4650.760835
979.98003,1979,4686.368219
1435.980061,1576,4716.489087
1562.980061,2440,4758.667722
986.98003,1231,4780.027799
1475.980061,1251,4801.673817
1496.980061,1393,4828.938069
1600.980061,1821,4858.975915
1523.980061,1499,4887.793213
1524.980061,1396,4911.689596
1478.980061,1844,4945.557707
1446.980061,1496,4974.280089
1406.980061,1475,4999.025081
1508.980061,1342,5021.993817
1509.980061,1405,5049.663099
1473.980061,1538,5075.31555
1609.980061,1871,5109.468637
1436.980061,1430,5133.674798
1475.980061,1455,5161.838317
1467.980061,1645,5189.258028
1456.980061,1702,5220.93251
1526.980061,2632,5269.904274
66.98,1247,5291.488487
1525.980061,1934,5326.565339
686.98003,1059,5345.564834
1430.980061,1464,5370.386303
1451.980061,1479,5398.814709
978.98003,1276,5420.838568
1522.980061,1519,5446.456716
1435.980061,1303,5472.593996
1414.980061,1530,5498.21571
1543.980061,1490,5527.298954
921.98003,2319,5567.808669
1396.980061,1465,5592.632756
1475.980061,1362,5619.536897
1556.980061,1526,5645.103988
1452.980061,1400,5672.667809
1538.980061,1584,5699.12392
1470.980061,1357,5722.272725
1575.980061,1420,5750.022857
1526.980061,1624,5776.919401
1513.980061,1382,5804.236723
1441.980061,1415,5828.222753
1514.980061,1358,5851.458997
1494.980061,1319,5877.59546
1557.980061,1595,5904.294791
1562.980061,1573,5934.221734
1520.980061,1478,5959.384499
1527.980061,1310,5985.415862
1604.980061,1555,6011.266261
1565.980061,1296,6033.444276
1505.980061,1572,6063.430518
1547.980061,1564,6089.563193
1516.980061,1265,6114.964698
1442.980062,1605,6141.638161
1661.980061,1534,6171.142317
1629.980063,2748,6217.988862
1618.980061,2413,6263.859979
1430.980061,1453,6288.41872
1406.980061,1444,6316.497858
1499.980061,1273,6338.592185
1656.980061,2117,6376.246038
1427.980061,1371,6399.708031
1453.980061,1464,6428.087945
1638.980061,1627,6454.893488
1424.980061,1331,6481.317173
1469.980061,1721,6509.649014
1464.98006,1448,6537.520924
979.98003,1726,6566.322401
1544.980061,3058,6621.331937
1630.980061,1668,6652.499273
1482.980061,1543,6682.048198
1417.980061,1477,6706.896
989.98003,1208,6727.908463
1492.980061,1518,6757.236772
982.98003,1242,6778.693132
1580.980061,1342,6801.564294
-0.02,1249,6823.098166
1636.980061,1788,6856.288734
99.98001,1159,6876.320144
1610.980061,1700,6908.15128
1517.980061,1582,6934.406937
1538.980061,1355,6961.202866
1634.980061,1698,6989.237875
1451.980061,1435,7017.215855
1615.980061,1805,7050.472414
1496.980061,1433,7074.877187
1625.980061,1816,7108.236233
1611.980061,1482,7133.245892
1569.980061,1263,7155.161207
1548.980061,1599,7185.49467
1493.980061,1491,7210.47362
1605.980061,1408,7238.344204
1499.980061,1175,7258.876879
1456.980061,1408,7282.749152
1457.980061,1441,7310.550571
1501.980061,1361,7333.993498
1624.980061,1621,7364.827703
786.98003,1848,7399.321688
1516.980061,1338,7422.236603
1494.980061,1262,7443.950602
1562.980061,1381,7467.426413
1650.980061,1423,7495.204121
1648.980061,1490,7520.274932
1675.980063,2135,7558.518627
1603.980061,1422,7586.146217
1514.980061,1496,7611.115988
1614.980061,1745,7643.653167
1593.980061,1316,7666.112664
1604.980061,1895,7700.84108
1740.980073,1939,7736.14346
1639.980061,1497,7761.541151
1623.980061,1320,7787.820365
1612.980061,1506,7813.0599
1628.980061,1643,7844.081735
1605.980063,1550,7870.092667
1812.980083,2230,7909.47064
1560.980061,1320,7935.708046
1890.980087,1569,7961.924119
1617.980061,1534,7991.254715
2040.980091,2320,8031.714337
1441.980061,1440,8056.072761
1532.980061,1345,8082.793217
914.980061,1335,8105.648668
609.98003,2762,8156.378474
969.98003,1153,8176.562643
1859.980089,1522,8202.343633
1411.980061,1395,8229.856465
1556.980061,1514,8255.083678
1449.980083,2269,8295.044448
2090.980091,1918,8330.038913
1459.980061,1539,8359.451656
1394.980061,1416,8383.487989
2251.980091,2291,8423.85223
1859.980083,1477,8452.308197
2216.980091,2310,8492.755045
2157.980091,2700,8542.823597
1917.980087,1581,8569.148006
1672.980067,1446,8597.338557
1452.980061,1422,8621.411048
2237.980091,2512,8668.695439
2092.980091,2125,8706.697169
2112.980091,3793,8772.284602
1545.980061,1235,8797.512622
1637.980061,1393,8821.049182
2041.980091,1394,8844.928795
1572.980061,1260,8870.471769
1794.980079,1390,8894.111341
1608.980061,1331,8916.57089
1572.980061,1225,8937.966068
2048.980091,1326,8964.444664
2016.980091,1407,8988.467926
1557.980061,1473,9017.059744
1836.980083,1375,9040.642203
2036.980091,1341,9063.623379
1454.980061,1686,9095.274894
2029.980091,1374,9118.677951
1699.980071,1369,9145.760334
2075.980091,2504,9189.401756
2057.980091,2103,9227.561773
2051.980091,1338,9250.637639
2033.980091,1341,9277.352592
2281.980089,2918,9327.751681
1849.980087,1341,9355.408042
1787.980081,1323,9381.180327
977.98003,2420,9430.698853
2078.980091,8350,9585.33631
972.98003,1220,9606.805562
1882.980087,1517,9632.60398
979.98003,1096,9652.067268
1920.980089,1415,9680.018851
974.98003,1173,9700.839962
1598.980061,1839,9734.634857
976.98003,1395,9758.538314
2358.980091,3603,9825.240067
1559.980061,1327,9848.127895
1867.980087,1426,9872.448057
2079.980091,2246,9913.138873
1563.980061,1237,9938.303117
1810.980081,1833,9968.602366
1675.980067,1247,9993.89101
1873.980089,1383,10017.80521
1768.980079,1372,10041.171574
1707.980071,1377,10068.463968
1784.980077,1469,10093.707492
1985.980091,1323,10116.789974
2261.980091,3579,10183.491919
1790.980079,1373,10207.046605
1474.980061,2919,10260.928575
2077.980091,2721,10311.605356
972.98003,1468,10336.646674
963.98003,1327,10363.044966
2261.980091,2970,10413.885453
2108.980091,5561,10516.652542
1564.980061,1277,10538.800178
1642.980061,1221,10560.080236
1406.98006,1201,10581.040628
1753.980077,1345,10607.700541
1810.980081,1346,10630.830131
1739.980075,1387,10654.575478
2186.980091,3067,10709.840512
1557.980061,1280,10735.643332
2192.980091,1791,10764.953471
2238.980091,2872,10817.328355
997.98003,1014,10835.58012
1564.980061,1281,10861.311406
1779.980079,1390,10885.065345
1835.980083,1279,10907.195488
2031.980091,1375,10930.688786
1990.980091,1378,10957.801044
2226.980091,2734,11008.277493
1876.980087,1435,11032.721917
1899.980091,1244,11054.19342
2088.980091,1691,11085.816983
1847.980085,1352,11108.934061
1845.980085,1278,11131.059027
2067.980091,1412,11158.567679
1691.980071,1320,11181.475161
2233.980091,10553,11370.741149
1658.980065,1632,11401.463325
1797.980077,1544,11427.357287
970.98003,3665,11494.971674
1432.980061,1719,11527.21286
1901.980089,1362,11550.34393
1757.980075,1358,11573.616835
1552.980061,1408,11601.089462
985.98003,1461,11626.574893
2032.980091,1337,11652.925946
1789.980081,1559,11686.486257
1124.980044,1142,11710.265252
2065.980091,1410,11738.840713
1438.980061,2110,11780.059243
1871.980087,1398,11804.512832
2026.980091,1297,11827.125848
2232.980091,2006,11863.450094
2190.980091,5382,11960.24043
2076.980091,1439,11992.817508
1776.980077,1336,12020.118665
2301.980091,2268,12060.697678
1252.980091,1449,12088.700464
1927.980091,1470,12113.745818
2058.980091,1367,12140.813409
1944.980091,1338,12163.871499
1692.980069,1418,12188.146679
1929.980091,1430,12216.255809
1535.980061,1273,12238.225472
1611.980061,1246,12259.812059
1769.980079,1339,12283.004265
2045.980091,1631,12313.948478
1660.980065,1410,12337.766471
1535.980061,1240,12363.091349
1866.980089,1398,12386.929661
975.98003,1237,12408.504654
1758.980073,1406,12436.168694
2005.980091,1333,12459.208871
2211.980091,2267,12499.002681
1709.980071,1438,12523.532363
986.98003,1054,12542.446078
2086.980091,1591,12572.390491
2196.980091,1843,12606.221248
1435.980061,1412,12630.214533
1576.980061,1246,12651.668852
1551.980061,1302,12677.560836
2405.980091,2091,12715.273053
2101.980091,1383,12738.67763
1966.980091,1452,12767.027083
1609.980061,1255,12788.614428
1832.980091,1496,12813.575029
2095.980091,1570,12843.362969
1893.980085,1526,12868.985476
1741.980077,1434,12896.785758
2105.980091,1578,12923.12607
1558.980061,1264,12944.945261
1875.980085,1332,12971.456082
2082.980091,17300,13283.663836
1648.980061,1579,13309.897202
974.98003,1209,13331.045488
960.98003,1718,13363.323153
2267.980091,6445,13477.931381
2205.980091,4114,13551.832432
1811.980081,1376,13579.065606
1904.980085,1571,13605.322749
1779.980081,1509,13634.177063
2354.980091,2839,13682.426508
2296.980091,2400,13727.642976
1752.980075,1347,13750.76892
2010.980091,1311,13773.516632
2028.980091,1292,13799.513758
2207.980091,4326,13876.891598
2174.980091,6408,13990.855122
981.98003,1727,14022.976952
1754.980075,1411,14047.026492
2054.980091,1343,14073.732737
2368.980091,1933,14105.115897
1381.98006,2935,14158.642219
983.98003,1483,14187.046349
968.98003,3166,14243.824012
986.98003,1398,14267.538773
1466.98006,1468,14295.873636
1458.98006,1459,14320.630881
1414.980061,1198,14341.690035
2089.98009,1551,14371.374282
2158.98009,2706,14417.747308
2085.980091,1411,14445.357614
2337.98009,2180,14484.267464
1547.98006,1416,14508.196345
1415.98006,1278,14534.060974
1642.980061,1323,14556.947175
2278.980091,2046,14593.655033
1581.98006,1273,14615.726307
1597.98006,1476,14644.526267
2080.980091,1508,14669.814716
1389.98006,1555,14695.816481
1521.98006,1363,14722.714462
2067.980091,1534,14748.3883
1753.980077,1371,14775.416023
2271.980091,3019,14829.932754
1861.980087,1314,14852.434357
1884.980087,1373,14875.894506
1868.980087,1350,14902.626746
969.98003,1240,14924.301062
1773.980079,1372,14947.745492
1871.980085,1310,14970.744219
2052.980091,1476,14999.126721
1823.980083,1376,15022.482687
1766.980077,1312,15045.08135
2259.980091,1599,15075.478909
1587.98006,1434,15099.6181
1756.980073,1338,15126.299848
1844.980083,1345,15149.50837
1835.980085,1378,15173.007103
1397.98006,1369,15200.027721
1830.980091,1382,15223.656773
543.980031,1434,15247.770805
1647.980061,1268,15273.447559
2408.980091,4474,15352.429915
