r,l,t
88.99009,3191,49.599564
42.990044,1361,101.926028
-1.01,475,109.218654
66.990068,405,115.214675
0.990002,746,126.169549
-1.01,651,135.668224
-1.01,544,143.314723
1.990003,616,151.960503
246.990248,1226,215.452202
15.990017,280,219.373618
-1.01,287,223.392847
-1.01,528,230.863178
123.990125,821,242.386376
48.990048,1608,290.725169
-1.01,284,294.727915
154.990156,641,303.833248
196.990198,649,313.010897
-1.01,171,315.452711
-1.01,285,319.50689
48.99005,329,324.188214
122.990124,704,334.078923
-1.01,169,336.504309
288.990282,978,373.634979
53.99,234,376.942746
53.99,330,381.598783
19.99,545,389.234301
301.990288,806,400.555604
118.99012,516,407.739619
2.990004,360,412.77504
120.990122,240,416.17665
192.990192,769,448.480576
81.99,436,454.827416
39.99,241,458.283612
156.99013,524,465.714518
603.990605,1313,484.538204
-1.01,210,487.550968
241.990175,2119,539.702656
39.99,240,543.073618
16.99,167,545.462837
62.99,276,549.355513
62.99,362,554.659324
538.990398,1700,579.079275
18.99001,278,603.962339
125.990127,380,609.422527
301.990303,674,618.907209
2.990004,273,622.791205
79.990081,428,628.887369
80.990082,445,635.271455
112.990114,717,645.475879
76.990078,408,651.176723
175.990177,506,658.385336
210.990212,568,688.106788
-1.01,239,691.524523
274.990276,711,701.444981
64.99,349,706.327921
62.99,394,711.906443
352.99033,749,722.355724
37.990039,259,725.991215
47.990049,291,730.11812
-1.01,245,733.630761
-1.01,232,736.918899
309.990309,610,766.901723
98.99,227,770.058398
193.990143,865,782.132398
639.990641,1346,801.029017
123.990125,793,812.200434
34.99,187,814.868621
56.99,243,818.345811
2.99,186,842.360368
26.99,171,844.75156
85.99,216,847.796169
51.99,317,852.242121
576.990418,1580,874.444588
535.99027,2264,927.999274
224.990226,564,936.087699
0.990002,326,940.817737
62.990064,223,944.052066
48.99005,237,947.507827
67.990069,251,951.098794
81.990083,297,955.407415
21.990023,247,959.025083
177.990179,586,967.39529
-1.01,209,970.435935
399.990401,772,1002.8916
41.990043,320,1007.335335
167.990169,474,1013.992344
151.990153,373,1019.20563
145.990147,419,1025.104182
62.990064,303,1029.433731
198.9902,451,1035.791229
132.990134,388,1041.243064
140.990142,390,1046.73974
55.99,738,1057.262428
69.99,812,1089.885141
466.990442,1101,1105.296208
185.990187,646,1114.50354
4.990006,223,1117.647439
101.990091,480,1124.440093
68.99,836,1136.397005
1429.990739,1703,1181.697657
69.990037,234,1185.045645
153.990133,1151,1201.336476
67.99,358,1206.486588
74.99,253,1210.215467
34.99,335,1215.161157
61.99,239,1240.046011
448.99045,1431,1260.339832
214.990216,595,1268.895555
82.990084,460,1275.473564
201.990203,538,1283.239254
111.990113,581,1291.725545
27.990029,255,1295.458541
30.990032,231,1320.225022
100.990102,357,1325.294134
40.990042,289,1329.438598
28.99003,264,1333.149013
-0.009999,240,1336.583639
8.99001,283,1340.555207
397.990399,924,1353.529103
30.990032,214,1356.521628
189.990191,481,1363.290601
31.990033,388,1368.742046
54.990056,192,1371.465667
250.990252,647,1402.032457
219.990221,461,1408.496635
51.990053,257,1412.144718
217.990217,432,1418.225972
50.99,219,1421.350263
57.99,205,1424.282791
446.990407,1143,1440.598737
4.990006,265,1448.001572
10.990012,187,1450.73271
13.990015,204,1453.706282
284.990286,468,1481.852351
63.99,340,1486.663895
162.990075,628,1495.439125
75.990077,238,1498.81636
415.990417,842,1510.74349
157.990159,417,1516.698977
-1.01,296,1520.878653
84.990086,553,1528.780157
96.990095,732,1560.885416
82.99,181,1563.450065
95.99,379,1568.860788
26.99,179,1571.4282
71.99,227,1574.706803
593.99044,1297,1593.151722
-0.009999,243,1596.669571
8.99001,246,1600.2271
3.990005,168,1602.598876
109.990111,523,1610.109962
2.990004,234,1613.540032
117.990119,516,1642.567041
221.990223,421,1648.609056
201.990203,453,1655.051992
228.99023,586,1663.395962
162.990164,381,1668.816859
119.990121,383,1674.154926
519.990513,923,1687.252327
23.99,253,1690.901303
100.99,260,1694.619474
451.990434,788,1727.054734
2.990004,226,1730.250012
288.99029,495,1737.297574
79.99,279,1741.238379
71.99,232,1744.563754
144.990146,409,1750.413529
587.990589,1014,1764.750489
210.990174,1392,1805.785783
69.99,325,1810.428525
61.99,217,1813.579262
62.99,222,1816.762893
486.990458,1473,1837.802918
-1.01,314,1842.328777
350.990352,794,1853.831025
12.990014,213,1856.904684
-1.01,256,1882.05015
-1.01,259,1885.758255
-1.01,264,1889.55356
27.990029,169,1891.969319
-1.01,167,1894.357329
51.990053,343,1899.28177
-1.01,340,1904.167429
74.990076,301,1908.48436
352.990354,896,1921.314963
26.990028,167,1923.775877
8.99001,329,1928.504482
-0.009999,228,1931.811541
-1.01,281,1935.927414
-1.01,302,1961.742976
-1.01,259,1965.40483
188.99019,432,1971.557675
429.990431,679,1981.256048
168.99017,457,1987.769322
184.990186,459,1994.311663
456.990458,683,2003.996203
95.990018,281,2008.035464
36.99,279,2012.059363
6.99,181,2014.684545
27.99,245,2039.481562
166.990168,373,2044.733479
280.990282,597,2053.282336
43.990045,178,2055.82542
238.990232,500,2062.916333
74.99,295,2067.110074
140.990072,513,2074.529716
53.990055,218,2077.635587
781.990783,1567,2121.378003
76.99,228,2124.675102
20.99,167,2127.018784
42.99,240,2130.450473
52.99,271,2134.351906
66.99,217,2137.439746
363.990365,1281,2155.656178
-1.01,169,2158.101587
47.990049,188,2160.749162
42.990044,341,2165.643155
267.990269,726,2176.250391
117.990119,385,2203.293647
77.990079,324,2207.968659
60.990062,251,2211.597212
331.990333,546,2219.471296
36.990038,474,2226.270066
8.99001,177,2228.848252
149.990151,396,2234.57445
312.990314,597,2243.058998
21.990023,192,2245.796073
102.990104,262,2249.622953
186.990188,368,2254.852109
474.990476,751,2286.989751
76.990078,223,2290.188914
108.99011,176,2292.664502
72.990008,239,2296.043055
59.99,238,2299.412299
95.99007,375,2304.72747
435.990437,752,2315.437125
229.990219,479,2322.227381
76.99,215,2325.328713
144.990082,673,2334.9881
74.990076,214,2359.405354
342.990344,643,2368.52921
233.990235,528,2376.090201
43.990045,168,2378.458677
157.990127,1052,2393.522187
8.99,168,2395.966358
16.99,168,2398.422303
45.99,168,2400.907948
49.99,207,2403.928839
77.99,230,2407.451439
27.99,209,2410.550294
562.99041,1236,2449.501051
753.990379,817,2461.285175
42.990044,173,2463.813113
47.990049,215,2466.944205
123.990125,319,2471.546856
41.990043,243,2475.068446
259.990261,497,2482.29999
38.99004,249,2485.992611
101.990103,310,2490.550581
384.990386,642,2521.312801
74.990076,222,2524.527528
49.990051,178,2527.093117
111.990113,327,2531.838528
138.99014,368,2537.047225
412.990414,665,2546.531255
272.990274,424,2552.576536
72.99,223,2555.717047
51.99,220,2558.872178
298.990273,689,2568.689431
59.990061,220,2571.833445
67.990069,225,2575.071342
42.990044,191,2599.234576
23.990025,237,2602.631497
136.990138,334,2607.353684
114.990116,240,2610.752804
92.99,263,2614.4159
177.990119,481,2621.226283
449.990451,731,2631.644634
202.990204,425,2637.738949
140.990134,981,2651.671453
61.99,209,2654.747301
61.99,247,2679.600628
24.99,168,2681.990479
83.99,227,2685.239094
443.990424,1463,2706.16023
285.990287,623,2715.079427
110.990112,436,2721.447674
-0.009999,314,2725.946901
62.990064,265,2729.833452
92.990094,251,2733.482106
79.990081,225,2758.21463
75.990077,325,2762.981444
109.990111,384,2768.582904
67.990069,231,2771.936003
137.990139,309,2776.456946
42.990044,171,2778.971037
227.990229,497,2786.293738
45.990047,190,2789.079233
153.990155,397,2794.876519
57.990059,184,2797.58845
141.990143,288,2801.697226
157.990159,358,2806.818175
33.990035,180,2809.373099
194.990196,433,2815.666436
289.990247,418,2842.995153
90.99,237,2846.425749
446.99043,791,2857.689764
303.990297,561,2865.699482
94.99,284,2869.822491
185.990137,537,2877.553454
1682.990773,1899,2925.677364
46.99,359,2930.700285
78.99,231,2933.961348
24.99,173,2936.461783
438.99042,1444,2956.986218
355.990357,644,2966.118997
45.990047,217,2969.272263
-0.009999,276,2973.285056
73.990075,311,2999.044335
83.990085,288,3003.157318
74.990076,245,3006.675402
301.990303,790,3017.982416
-1.01,218,3021.071315
-1.01,177,3023.642533
6.990008,197,3026.513914
45.990047,252,3030.150724
395.990397,1354,3049.7509
4.99,180,3052.36752
78.99,227,3055.702767
72.99,270,3080.708237
44.99,224,3083.90525
80.99,231,3087.234437
59.99,229,3090.576416
427.990429,739,3101.142281
187.990189,478,3108.037172
149.990151,333,3112.888811
76.990078,205,3115.886491
353.990355,644,3125.150894
373.990253,521,3132.683542
438.990408,897,3167.057384
320.990318,574,3175.413769
85.99,261,3179.244652
61.99,230,3182.520105
114.990116,334,3187.358204
31.990033,168,3189.743309
418.99042,658,3199.035841
215.990217,439,3205.22069
130.990122,895,3239.525907
49.99,193,3242.302425
43.99,398,3247.96552
34.99,195,3250.71494
32.99,181,3253.296486
48.99,243,3256.765048
558.990385,1436,3277.103246
72.990074,180,3279.68054
364.990366,726,3290.354665
155.990157,333,3295.257012
339.990341,668,3326.106906
28.99003,173,3328.634586
67.990069,255,3332.351915
408.990398,1480,3353.684153
66.99,259,3357.477697
65.99,279,3361.543607
70.99,286,3365.782841
72.99,244,3369.410895
18.99,168,3371.849652
58.99,244,3375.430472
133.990135,285,3400.914037
170.990172,315,3405.525306
382.990384,744,3416.310459
141.990143,285,3420.458248
149.990151,418,3426.565098
153.990155,333,3431.433123
67.990069,216,3434.607389
357.990244,487,3441.634677
490.990453,1118,3479.152707
49.990051,191,3481.864201
233.990221,567,3489.954409
88.99,225,3493.187182
178.99013,593,3501.659067
1723.990778,1727,3526.338705
114.99,225,3529.589197
40.99,230,3532.938306
381.990383,1285,3572.77407
49.990051,202,3575.703329
