r,l,t
80.990082,4955,107.883534
24.990026,238,111.490882
3.990005,1045,126.848033
-1.01,273,130.778655
45.990047,619,139.740648
15.990017,794,150.89888
-1.01,390,202.773941
51.990053,485,209.587523
196.990198,801,220.78122
89.990091,610,229.438923
107.990109,975,243.062624
22.990024,401,248.721432
-1.01,229,252.020358
0.99,468,284.361981
93.990095,428,290.364752
236.990238,1068,305.440263
38.99004,400,311.071926
14.990016,463,317.625734
-1.01,639,326.623496
101.990103,557,334.48582
-1.01,207,337.469832
49.990051,315,365.228277
-1.01,168,367.61344
101.990103,745,378.069189
24.990026,397,383.691064
129.990127,366,388.814795
82.99,257,392.465266
37.99,323,396.996162
286.990261,1494,417.970994
157.990159,1033,454.169298
-1.01,250,457.744311
48.99005,330,462.423788
113.990115,455,468.832444
141.990141,524,476.190527
86.99,306,480.699507
43.99,258,484.549329
98.990081,492,491.668
418.99042,906,526.291057
272.990274,837,538.319218
11.990013,332,543.086564
26.990028,218,546.21033
92.990092,939,559.732495
72.99,493,566.785347
152.990154,464,573.461931
269.990271,735,605.071325
150.990152,709,615.073349
255.990178,571,623.090046
251.990128,504,630.257299
113.990115,465,637.014381
-1.01,189,639.729089
26.990028,193,642.467443
35.990037,298,646.66876
81.990083,339,651.417696
304.990306,731,683.558461
58.99,255,687.136373
162.99007,965,700.673256
241.990243,687,710.304544
118.99012,332,714.958769
292.990294,689,724.540657
45.99,254,728.145814
57.99,398,733.827335
70.990024,523,762.605057
115.990117,501,769.625411
16.990018,186,772.242774
884.990748,2237,803.582924
91.99,330,808.218558
66.99,231,811.484381
43.99,321,816.069333
621.990442,1484,858.353783
423.990214,2116,888.153787
65.990067,328,892.849578
34.990036,185,895.557223
14.990016,262,920.625921
-1.01,245,924.109486
11.990013,269,927.991219
35.990037,149,930.188343
126.990128,321,934.861496
50.990052,271,938.797395
51.990053,212,941.822156
161.990163,449,948.297377
100.990102,335,953.129367
43.990045,282,957.269734
-1.01,282,961.340051
428.99043,833,973.286075
6.990008,263,977.096978
174.990176,453,1004.886778
146.990148,492,1011.791916
44.990023,167,1014.113814
177.990179,380,1019.425679
30.990032,277,1023.349035
152.990154,383,1028.770505
18.99002,357,1033.853246
286.990284,848,1045.774272
63.99,211,1048.781784
550.990467,1213,1087.170402
-1.01,309,1091.545239
264.99026,602,1099.968127
71.99,298,1104.136407
59.99,233,1107.473303
520.990508,1118,1123.343116
419.990401,1645,1168.128471
28.99,220,1171.233963
79.99,217,1174.27811
10.99,170,1176.682772
39.99,250,1180.23649
69.99,221,1183.390184
554.99041,1400,1203.198063
48.99005,235,1206.591824
290.990292,784,1239.443688
46.990048,305,1243.727934
25.990027,167,1246.11113
-1.01,207,1249.063174
2.990004,200,1251.942527
72.990074,236,1255.25532
75.990077,339,1260.15796
-0.009999,224,1263.357315
-1.01,247,1266.925086
-1.01,213,1269.984496
336.990338,885,1282.753384
-1.01,169,1285.245395
2.990004,224,1288.507938
10.990012,323,1293.207584
25.990027,177,1295.837435
6.990008,168,1319.662784
137.990139,286,1323.72294
107.990109,224,1326.892767
139.990141,397,1332.550026
256.990258,573,1340.680978
256.990171,460,1347.152187
51.990028,191,1349.858425
127.990129,438,1355.977118
488.99048,813,1367.397246
76.99,353,1372.441046
25.99,230,1397.164301
37.99,231,1400.388716
408.99041,817,1411.883785
12.990014,587,1420.172528
151.990153,385,1425.683988
223.99015,427,1431.801259
41.99,387,1437.324144
139.990105,464,1447.544581
37.990039,207,1450.523284
439.990441,872,1484.525388
144.990146,448,1490.785863
183.990177,941,1504.043134
134.99,229,1507.30525
104.99,225,1510.549489
122.99,345,1515.481616
53.99,229,1518.74577
391.990393,1566,1562.678446
63.990065,384,1568.150167
307.990309,1509,1589.645558
-0.009999,252,1593.239358
65.990067,397,1598.993468
52.990054,167,1601.368264
52.990054,247,1604.93328
42.990044,185,1607.625709
69.990071,340,1612.554326
9.990011,232,1615.848704
266.990268,805,1649.03982
35.990037,280,1652.996919
131.990133,293,1657.157315
305.990307,643,1666.31228
32.990034,237,1669.673172
111.990113,255,1673.261468
370.990372,674,1682.786707
229.990231,436,1688.989912
275.990263,696,1720.233851
79.99,200,1723.062004
43.99,292,1727.151531
399.990387,648,1736.308627
113.990115,385,1741.753322
230.990226,603,1750.412762
59.99,599,1758.877186
56.99,245,1762.384604
27.99,305,1766.71944
143.990145,338,1771.586409
739.990369,722,1803.11656
430.990216,508,1810.293839
86.990044,244,1813.792294
313.990135,1015,1828.24826
37.99,167,1830.629599
98.99,232,1833.964927
88.99,277,1837.937071
70.99,261,1841.725326
630.990459,3477,1913.012948
-1.01,202,1915.944893
205.990207,1089,1931.6508
127.990129,354,1936.847415
27.990029,195,1961.055985
76.990078,332,1965.77285
4.990006,366,1971.007361
5.990007,215,1974.101565
43.990045,187,1976.769569
18.99002,258,1980.482908
158.99016,308,1984.881249
245.990247,497,1991.911591
81.990083,259,1995.684337
126.990128,345,2000.597454
32.990034,179,2003.144518
543.990545,934,2016.483198
264.990258,598,2046.183733
94.99,242,2049.674789
341.990293,657,2058.997227
122.990124,305,2063.385094
313.990311,611,2072.183585
48.99,239,2075.568226
76.99,238,2078.990937
162.990142,518,2086.356689
716.990359,607,2095.103214
69.990071,216,2119.529973
210.990212,374,2124.92175
188.990124,1272,2142.957878
53.99,171,2145.381192
109.99,548,2153.16941
1432.990826,2206,2206.402679
18.99001,159,2208.678893
82.990043,338,2213.575115
