r,l,t
81.990083,749,11.124393
39.990041,3604,67.028185
-1.01,168,69.391313
70.990072,635,76.648376
-1.01,319,80.352148
59.990061,693,89.357217
63.990065,892,100.164131
-1.01,313,103.916767
13.990015,242,107.233285
38.99004,608,128.690676
64.990066,437,134.905246
-1.01,223,138.130731
128.99013,722,148.457693
100.990102,1244,166.185798
59.990035,646,175.558914
-1.01,241,179.033165
34.990036,428,185.119104
34.990036,415,203.88562
116.990118,570,212.034924
59.990061,492,218.796845
-1.01,232,222.18956
69.990071,382,227.798809
13.990015,447,234.292952
97.990099,648,243.529729
-1.01,259,247.258046
11.990013,229,250.571248
140.990142,741,274.04531
152.99015,456,279.329828
118.99,257,282.405283
436.990408,1496,299.830067
0.990002,216,302.293884
18.99002,459,307.457806
-1.01,185,309.55602
69.990071,509,315.304549
-1.01,286,330.738813
224.990226,727,338.890946
63.99,366,343.072725
49.99,215,345.492496
36.99,223,348.104423
85.990087,368,352.404902
-1.01,227,355.056545
445.990447,1373,370.82987
238.99024,720,391.211005
294.990296,568,397.744513
147.990149,458,403.005716
126.990128,453,408.217206
-1.01,180,410.283386
57.990059,437,415.40303
48.99005,290,418.818035
76.990078,277,421.955503
147.990149,504,427.697619
46.990048,321,431.552506
229.990231,644,450.861744
56.990058,376,455.065633
210.99021,582,461.640291
71.99,219,464.088763
35.99,208,466.367389
485.990445,1169,479.409258
-1.01,248,482.219821
281.990283,520,488.010547
64.99,229,490.627937
63.99,303,494.055273
130.990109,445,511.233171
-1.01,224,513.749721
401.990403,821,522.95865
112.990114,317,526.479643
-1.01,222,528.932979
150.990152,609,535.733198
8.99001,212,538.106898
35.990037,229,540.693158
91.990083,1092,565.041716
43.99,229,567.631504
38.99,248,570.406063
24.99,168,572.231307
55.99,205,574.55925
43.99,251,577.358176
41.99,243,580.094827
495.990402,1617,598.035917
47.990049,258,600.906518
81.990083,717,608.928717
123.990125,1018,632.555031
0.990002,310,636.167715
35.990037,242,638.895165
67.990069,348,642.91062
24.990026,249,645.739374
-0.009999,172,647.722802
10.990012,252,650.594977
160.990162,483,656.128225
201.990203,497,661.813284
7.990009,230,664.451584
90.990092,397,681.101183
163.990165,474,686.486825
-1.01,218,689.005699
172.990174,453,694.164094
308.99031,635,701.362319
338.990338,700,709.292296
81.99,246,712.049751
49.99,225,714.651307
278.990262,596,721.349675
139.990141,413,725.961185
34.990036,224,740.650144
108.99011,277,743.771962
73.990075,492,749.301639
117.990101,409,753.8657
106.99,269,756.95306
134.990108,481,762.36593
24.990026,183,764.425281
1195.990597,1383,779.771139
471.990178,1319,806.608707
173.99,217,809.045697
117.99,204,811.344568
704.99041,1565,828.790597
94.990048,367,832.875902
2.990002,255,835.782103
-1.01,196,837.98603
371.990188,790,859.081896
109.990111,462,864.382063
116.990118,493,870.069386
44.990046,224,872.64144
193.990195,619,879.658756
120.990122,528,885.721508
98.9901,477,891.320107
32.990034,282,894.603343
79.990081,398,899.255416
363.990365,1328,926.767646
14.99,190,928.923442
67.99,235,931.653126
56.99,295,935.060351
159.990161,395,939.572692
91.990093,290,942.894065
183.990185,426,947.722881
387.990389,652,955.094551
111.990113,298,958.540401
188.99019,488,976.090538
321.990323,590,982.836672
66.99,203,985.142529
26.99,198,987.366539
195.990139,409,992.008457
314.990316,606,998.801095
266.990268,595,1005.456412
78.990003,268,1008.417821
46.99,253,1011.241114
195.990168,614,1018.025249
338.99034,628,1037.117199
2.990004,168,1038.970947
57.990059,292,1042.23917
167.990169,421,1046.957066
191.990169,1296,1061.334029
70.99,236,1064.013247
45.99,200,1066.262615
76.99,382,1070.595468
43.99,238,1073.30576
444.990446,1364,1101.083749
135.990137,846,1110.879227
-1.01,346,1114.887101
72.990074,388,1119.349955
136.990138,493,1125.139514
30.990032,240,1127.953666
58.99006,296,1131.437058
13.990015,266,1134.52837
14.990016,310,1150.383123
64.990066,333,1154.301342
366.990368,648,1161.900357
39.990041,203,1164.248887
48.99005,279,1167.494921
179.990181,406,1172.118921
151.990153,373,1176.381164
187.990189,374,1180.687199
223.990225,553,1186.957219
258.990248,583,1193.587243
85.99,233,1208.437156
150.990097,501,1214.117213
305.990307,652,1221.400089
320.990322,500,1227.081448
112.99,224,1229.620073
152.990114,451,1234.654067
36.990038,211,1237.057121
2613.991173,3548,1289.342652
40.990042,167,1291.210662
309.990311,1396,1307.165301
9.990011,215,1309.603595
27.990029,283,1325.003921
13.990015,189,1327.216128
-1.01,231,1329.95546
-1.01,225,1332.617327
63.990065,317,1336.405308
96.990098,359,1340.607902
12.990014,168,1342.646661
36.990038,257,1345.675086
30.990032,206,1348.103213
282.990284,612,1355.342476
18.99002,249,1358.293499
14.990016,309,1361.895133
-1.01,676,1369.823719
3.990005,190,1372.039141
45.990047,252,1387.184674
