r,l,t
92.990094,3043,38.344757
48.99005,1377,68.042903
5.990007,432,73.196026
43.990045,512,79.073764
-1.01,190,81.300411
6.990008,229,84.068538
68.99007,545,91.306888
-1.01,204,93.699643
-1.01,332,97.903527
66.990068,540,104.299729
36.990038,673,113.794851
27.990029,472,133.421996
38.99004,278,137.327176
-1.01,487,144.285956
65.990067,728,154.707468
76.990078,681,164.450963
163.990165,658,173.954468
17.990019,769,184.950964
135.990137,674,207.431752
48.99005,285,211.534948
100.990102,476,218.111523
75.990077,368,223.425436
-1.01,249,227.102915
13.990015,368,232.471567
-1.01,251,236.074114
57.990059,392,241.744697
-1.01,190,244.370123
-1.01,296,248.656248
187.990189,895,274.255094
93.990044,226,276.908887
62.99,215,279.391129
136.990099,435,284.545998
278.99028,970,295.876155
22.990024,381,300.281471
2.990004,226,302.895863
2.990004,207,305.233936
19.990021,246,308.010921
106.990108,554,314.232407
65.990067,606,333.278911
130.99012,583,339.805948
67.99,249,342.666923
52.99,311,346.216556
517.9905,2386,373.721662
36.990038,272,376.858187
43.990045,352,393.039588
3.990005,240,395.74635
143.990145,453,400.906928
6.990008,270,404.104236
269.990271,806,413.336536
0.990002,329,417.282892
246.990248,644,424.682538
58.99006,399,429.253985
35.990017,340,433.195598
355.99018,510,451.012368
188.99019,496,456.623526
142.990144,393,461.034926
185.990187,439,465.926032
100.99,222,468.436167
109.990059,442,473.395142
361.990363,908,483.495862
79.990081,365,487.578886
222.990224,549,493.804127
65.99,246,508.782961
49.99,241,511.462812
141.990107,637,518.584227
9.990011,213,521.046903
381.990383,1278,535.220493
50.990052,289,538.47087
14.990016,270,541.530234
6.990008,171,543.448476
-1.01,225,545.954927
149.990151,605,564.943532
0.990002,233,567.57882
88.99009,282,570.732226
125.990089,1293,585.062197
62.99,349,589.005837
81.99,217,591.45695
14.99,209,593.77895
37.99,198,596.024802
513.990414,1564,625.594734
41.990043,218,628.06414
-1.01,211,630.472404
223.990225,1445,646.975015
-1.01,214,649.41273
137.990139,487,655.018471
-1.01,169,656.943056
12.990014,245,659.757637
121.990123,370,664.046215
382.990384,874,686.060607
279.990281,718,694.208461
160.990162,452,699.310837
38.99004,172,701.307988
118.99012,493,706.893468
350.990344,773,715.629942
81.99,260,718.579627
184.990123,878,740.593367
282.990284,624,747.584233
97.990099,386,751.902846
45.990047,284,755.055486
173.990173,444,760.074798
65.99,207,762.416158
52.99,233,765.00098
171.990142,633,772.063053
359.990361,717,780.077055
2.990004,229,782.628137
31.990033,224,797.37403
33.990035,292,800.566416
196.990198,469,805.78689
151.990137,1144,818.586056
40.99,235,821.195798
45.99,223,823.658021
70.99,219,826.089545
65.99,333,829.816513
433.990413,1480,858.664926
44.990046,200,860.960049
-1.01,286,864.229068
-1.01,243,867.030103
186.990188,1189,880.593697
83.990085,394,885.120482
