r,l,t
103.990105,6137,88.832684
-1.01,273,92.134888
11.990013,599,99.55395
163.990165,1441,131.942988
84.990086,523,139.292848
94.990096,426,145.388654
-1.01,302,149.729568
102.990104,657,159.21105
123.990125,740,169.745211
33.990035,426,175.921266
225.990227,1024,203.323776
-0.009999,390,209.004474
-1.01,287,213.071884
26.990028,345,217.771021
21.990023,594,226.488535
170.990172,471,233.286535
20.990022,394,238.931456
258.99025,1087,254.561155
39.99,229,257.990942
48.99,245,274.16334
220.990169,1040,286.384677
235.990237,1065,298.739026
125.990127,617,305.756823
80.990082,435,310.678215
10.990012,300,314.040549
101.990099,588,332.85482
100.99,255,335.70621
46.99,269,338.715067
41.990043,432,343.623746
0.990002,270,346.73321
66.990068,351,350.896971
385.990387,1789,371.403038
3.990005,496,377.109352
31.990033,368,393.52129
7.990009,214,396.003882
22.990024,284,399.167897
50.990052,301,402.741555
107.990109,556,409.115698
36.990038,291,412.411747
11.990013,226,415.02431
376.990378,1085,427.520546
-1.01,238,430.384605
67.990069,324,434.094273
188.99019,593,452.838161
-1.01,252,455.722208
315.990317,793,464.591137
104.990106,417,469.262734
162.990164,514,475.016599
229.990231,715,482.994442
92.99,276,486.071774
79.990021,535,492.094065
108.99011,374,508.508487
291.990293,704,516.357497
89.990091,253,519.199213
93.990095,426,523.976652
191.990119,501,529.549678
50.99,250,532.372612
72.990046,428,537.106433
58.99006,291,540.393005
52.990054,259,543.274179
608.99061,1365,570.694689
12.990014,168,572.547983
13.990015,284,575.723487
398.990107,2824,607.037773
52.99,220,609.520116
404.990406,1525,638.91251
-1.01,211,641.359286
139.990141,3066,688.384305
-1.01,230,691.049505
99.990101,363,695.150737
172.990174,519,701.036602
-1.01,248,703.8385
51.990053,413,708.519198
72.990074,410,713.159944
25.990027,322,716.820762
393.990395,756,725.258431
51.990053,243,740.182091
150.990152,501,745.856574
227.990229,552,751.998825
149.990151,500,757.591551
484.990474,1055,769.401947
104.99,239,772.037082
110.990076,470,777.264502
333.990335,644,784.439466
293.990295,572,802.966817
87.990021,247,805.725075
164.99008,544,811.754303
420.990422,729,819.959451
4.990006,472,825.171644
35.990037,240,827.829406
42.990044,370,831.980206
150.990152,413,836.661672
-1.01,268,839.673731
32.990034,268,854.899109
224.990132,2072,878.447649
64.99,200,880.7359
514.99041,1728,900.792518
35.990037,190,915.243695
-0.009999,170,917.196599
347.990349,1412,933.370742
24.990026,254,936.323257
28.99003,359,940.406498
10.990012,311,943.942164
-1.01,224,946.487588
4.990006,281,949.67724
109.990111,338,953.524777
44.990046,236,956.238888
291.990293,716,976.387431
28.99003,283,979.64494
17.990019,728,987.868496
-1.01,296,991.177351
-1.01,230,993.785124
276.990278,545,999.883026
162.990164,432,1004.723428
35.990037,240,1007.384031
328.99033,714,1015.276763
246.990248,522,1033.217072
396.990398,663,1040.541051
109.99,260,1043.455706
30.99,232,1046.081802
717.990708,1080,1057.948419
117.990019,276,1061.110742
52.99,245,1063.897949
116.990118,319,1067.521242
32.990034,169,1069.459015
352.990354,597,1076.249046
63.990065,309,1091.974938
202.990204,573,1098.591836
358.990135,2525,1127.837906
28.99,168,1129.812499
49.99,213,1132.359306
550.99041,1423,1161.152738
373.990189,711,1169.390691
59.990061,349,1173.339167
160.990162,424,1178.184226
21.990023,291,1181.513845
24.990026,203,1183.842795
16.990018,169,1185.755093
19.990021,190,1187.949075
61.990063,360,1192.043051
33.990035,237,1194.793671
40.990042,258,1209.900963
104.990106,375,1214.110246
172.990174,703,1221.986101
33.990035,182,1224.080973
64.990066,358,1228.128899
-1.01,251,1230.950938
381.990383,659,1238.352607
218.99022,480,1243.711741
240.990242,458,1248.818395
396.990398,721,1269.552352
235.990211,478,1274.976397
95.99,267,1277.977877
451.990422,1077,1290.040531
52.990054,245,1292.839271
60.990062,254,1295.726472
194.990188,450,1300.894726
66.99,230,1303.575465
64.99,242,1306.372432
152.990142,430,1311.26845
815.990407,636,1330.846067
44.990023,253,1333.833658
315.990159,396,1338.492342
233.990178,1263,1353.386052
113.99,230,1356.128466
114.99,213,1358.630979
16.99,172,1360.643711
26.99,181,1362.744993
619.99041,1392,1391.626087
569.990286,712,1399.804653
56.990058,532,1405.890848
67.990069,350,1409.925995
-1.01,266,1412.968932
5.990007,300,1416.300926
-1.01,167,1418.230565
26.990028,214,1420.673383
47.990049,336,1424.480482
74.990076,374,1428.712741
101.990103,273,1444.091738
211.990213,528,1450.077906
163.990165,420,1454.720129
285.990287,486,1460.219283
19.990021,227,1462.74614
280.990282,517,1468.577819
211.990213,459,1473.694238
270.990272,500,1479.307899
15.990017,205,1481.631151
57.990059,244,1484.422214
144.99014,328,1488.034421
104.99,241,1502.965485
40.99,202,1505.243173
343.990345,612,1512.187875
79.990081,266,1515.228904
303.990301,591,1521.961785
110.99,289,1525.257024
915.990501,953,1536.23903
67.990069,248,1539.06056
368.99034,1383,1567.253549
