r,l,t
168.99017,2629,42.458039
77.990079,923,57.812393
3.990005,198,60.166779
-1.01,233,63.299295
-1.01,126,69.456202
-1.01,126,70.952343
-1.01,126,72.917271
-1.01,161,75.352194
-1.01,210,78.249737
-1.01,127,79.895615
-1.01,126,81.369303
-1.01,133,87.543575
-1.01,154,89.26971
-1.01,126,90.710866
-1.01,347,94.606634
-1.01,208,96.918607
-1.01,243,104.320556
-1.01,126,105.700649
-1.01,126,107.1864
-1.01,126,108.592871
-1.01,231,111.22994
-1.01,352,119.846525
-1.01,429,124.615956
-1.01,126,126.069235
0.990002,126,127.501373
-1.01,126,128.928298
-1.01,126,130.429301
-1.01,126,136.698761
-1.01,194,138.860534
-1.01,270,141.86235
-1.01,205,144.195794
-1.01,259,147.091374
-1.01,126,153.293913
-1.01,152,155.025141
-1.01,126,156.425199
-1.01,145,158.049158
-1.01,285,161.335873
-1.01,1356,185.905477
-1.01,126,187.317261
-1.01,158,189.121524
-1.01,138,190.692564
-1.01,159,192.45894
-1.01,156,194.175683
-1.01,335,202.631772
-1.01,130,204.038067
-1.01,312,207.460675
-1.01,162,209.268355
-1.01,127,210.658805
-1.01,224,217.895279
-1.01,126,219.293865
-1.01,126,220.681389
-1.01,144,222.248817
-1.01,153,223.967059
-1.01,162,225.796445
-1.01,151,227.451689
-1.01,126,233.568261
-1.01,126,234.960391
-1.01,126,236.383707
-1.01,126,237.79328
-1.01,126,239.173153
-1.01,444,248.843258
-1.01,146,250.497361
-1.01,485,255.80273
-1.01,132,257.243623
-1.01,154,258.93323
-1.01,126,265.206877
-1.01,126,266.617395
-1.01,126,267.992845
-1.01,126,269.373621
-1.01,160,271.140303
-1.01,501,281.399864
-1.01,194,283.549284
-1.01,347,287.373243
-1.01,126,288.764215
-1.01,136,290.277374
-1.01,159,296.802269
-1.01,130,298.292897
-1.01,126,299.643967
-1.01,126,301.017456
-1.01,226,303.50518
-1.01,126,304.925161
-1.01,238,307.583724
-1.01,168,314.103755
-1.01,126,315.453105
-1.01,158,317.215017
-1.01,167,319.119143
-1.01,126,320.507458
-1.01,566,331.552351
-1.01,163,333.317907
-1.01,631,345.086127
-1.01,126,346.486376
-1.01,126,347.893938
-1.01,156,349.637983
-1.01,149,351.289591
-1.01,187,353.38573
-1.01,126,354.813359
-1.01,696,367.365327
-1.01,207,369.889117
-1.01,126,371.287367
-1.01,1257,394.862113
202.990204,502,400.520015
25.990027,323,404.080914
2.990004,240,411.636209
-1.01,162,413.465391
13.990015,126,414.858605
-1.01,126,416.310136
-1.01,1821,446.348111
-1.01,126,447.878794
-1.01,757,461.066439
-1.01,126,462.478076
-1.01,227,464.986408
-1.01,150,466.639871
-1.01,174,468.577173
-1.01,206,475.813185
-1.01,126,477.185379
-1.01,851,491.283126
-1.01,163,493.104599
-1.01,126,494.476891
-1.01,475,499.831776
-1.01,126,501.21738
-1.01,155,507.704289
-1.01,302,511.084155
-1.01,904,525.705074
-1.01,205,527.93186
-1.01,126,529.321255
-1.01,1000,545.002047
-1.01,1083,561.571059
52.990054,1864,591.65613
-1.01,135,593.137753
-1.01,135,594.613327
-1.01,135,596.082365
-1.01,161,602.728096
-1.01,161,604.52788
84.990086,305,607.891838
395.990397,718,620.557801
85.990087,266,623.465616
577.990579,49475,1395.540746
28.99,1005,1411.378005
218.99022,657,1653.056052
23.990025,618,1664.664819
-1.01,126,1666.069015
-1.01,163,1667.901885
-1.01,229,1675.279779
-1.01,158,1677.041948
0.990002,249,1679.783121
-1.01,126,1681.154909
-1.01,126,1682.529353
1.990003,126,1683.909176
-1.01,126,1685.308997
-1.01,146,1691.694368
-1.01,126,1693.044829
-1.01,568,1699.248741
-1.01,126,1700.619273
-1.01,126,1706.834381
-1.01,243,1709.518768
-1.01,126,1710.935743
1.990003,1394,1730.928621
-1.01,154,1732.605912
-1.01,146,1739.025506
-1.01,126,1740.408444
-1.01,126,1741.789177
-1.01,217,1744.187921
-1.01,126,1745.60261
-1.01,154,1747.31551
-1.01,146,1748.930892
-1.01,465,1758.875835
-1.01,250,1761.655916
-1.01,401,1770.799906
-1.01,126,1772.235723
-1.01,126,1773.640152
-0.009999,126,1775.033307
-1.01,158,1776.773843
-1.01,726,1789.564528
-1.01,205,1791.816188
-1.01,154,1793.489192
-1.01,362,1797.457365
-1.01,126,1803.673327
-1.01,428,1808.31953
-1.01,197,1810.563503
-1.01,139,1812.074846
-1.01,126,1813.495664
-1.01,513,1823.967912
-1.01,586,1835.060248
-1.01,267,1837.953538
-1.01,126,1839.374769
-1.01,126,1840.821352
-1.01,126,1842.209211
-1.01,243,1844.865236
-1.01,126,1851.013388
-1.01,126,1852.397296
-1.01,270,1855.353239
-1.01,126,1856.765167
-1.01,144,1858.3395
-1.01,162,1860.131947
-1.01,402,1869.281683
-1.01,158,1871.093236
-1.01,126,1872.468113
-1.01,163,1874.250798
-1.01,126,1875.657822
