r,l,t
218.99022,2685,43.254393
-1.01,268,46.488899
23.990025,332,54.78092
-1.01,213,57.253414
-1.01,126,58.78287
-1.01,642,71.448732
-1.01,126,73.431814
-1.01,268,77.220556
-1.01,310,81.138485
-1.01,293,89.100422
-1.01,182,91.167035
-1.01,304,94.576902
6.990008,155,96.334609
-1.01,287,104.220895
-1.01,343,108.073724
-1.01,126,109.469602
-1.01,126,110.959236
-1.01,126,112.350657
-1.01,132,113.837114
-1.01,187,120.607469
-1.01,140,122.141281
-1.01,126,123.602638
-1.01,276,126.659508
-1.01,195,128.858357
-1.01,502,139.355779
-1.01,158,141.114343
-1.01,162,142.945996
-1.01,146,144.610895
-1.01,356,153.366648
-1.01,157,155.157148
-1.01,143,156.768434
-1.01,126,158.150266
-1.01,153,159.9252
-1.01,162,161.811116
-1.01,164,168.387727
-1.01,144,169.982704
-1.01,182,172.095216
-1.01,170,173.991045
-1.01,166,175.828482
-1.01,168,177.690919
-1.01,229,185.00479
-1.01,303,188.383101
-1.01,638,195.499545
-1.01,269,203.212897
-1.01,126,204.617378
-1.01,192,206.6831
-1.01,723,219.382577
-1.01,280,222.452175
-1.01,126,223.850605
-1.01,164,225.671783
-1.01,185,227.721199
-1.01,1254,251.050534
-1.01,162,252.864095
-1.01,516,258.461214
-1.01,219,265.720212
-1.01,126,267.090546
-1.01,126,268.490585
-1.01,126,269.893137
-1.01,165,271.739682
-1.01,407,280.964011
-1.01,126,282.338583
-1.01,775,290.886524
-1.01,126,297.039079
-1.01,126,298.49069
-1.01,144,300.023103
-1.01,182,302.031535
-1.01,138,303.543485
40.990042,580,314.598144
6.990008,164,316.379554
-1.01,261,319.293147
-1.01,135,320.80945
-1.01,169,322.694663
-1.01,230,330.030761
9.990011,135,331.532024
-1.01,145,333.135304
-1.01,162,334.926775
-1.01,155,336.657168
-1.01,151,338.324339
-1.01,135,344.646864
-1.01,135,346.128227
-1.01,135,347.620889
179.990181,554,353.798128
126.990128,530,364.585614
1659.990828,12075,555.79979
223.990225,421,1265.020841
4.990006,438,1269.835848
17.990019,182,1276.605398
-1.01,126,1278.041577
-1.01,152,1279.688744
-1.01,161,1281.461195
-1.01,191,1283.576356
-1.01,1048,1299.857473
-1.01,126,1301.241307
-1.01,162,1307.779473
-1.01,271,1310.760552
-1.01,126,1312.145703
-1.01,237,1314.75719
-1.01,181,1316.78662
-1.01,126,1322.989897
-1.01,459,1327.980115
-1.01,2243,1362.135814
-1.01,126,1363.521688
-1.01,153,1365.237503
-1.01,178,1372.013152
-1.01,132,1373.442232
-1.01,126,1374.833521
-1.01,158,1376.595798
47.990049,383,1380.786573
3.990005,170,1387.452356
-1.01,243,1390.16667
-1.01,135,1391.63086
-1.01,187,1393.666027
-1.01,135,1395.179181
