r,l,t
309.633016,26301,408.301184
1426.633667,26180,813.041156
2062.644203,17229,1100.165493
2150.634389,19115,1389.59313
1935.61437,22751,1757.780542
2259.644402,17142,2024.879374
2300.654343,17171,2292.448832
2039.663983,16409,2551.718402
3376.644835,19184,2860.118892
2163.634404,17334,3129.678529
3129.65484,17086,3396.768751
3247.634831,18062,3693.630646
1863.644003,17428,3963.556364
3334.654837,18727,4248.391524
3045.664836,17348,4537.773529
3317.654836,16865,4802.381314
3560.664843,17045,5069.784129
3296.654838,15806,5323.056047
3900.684844,16044,5579.198124
4957.16484,16585,5841.241266
3264.644835,16214,6099.545628
3766.664838,17196,6368.792485
5155.184842,16054,6625.67047
5158.184845,17873,6902.349287
5255.194844,16741,7166.877227
3574.664844,16016,7422.690551
3585.664841,16886,7688.219377
3143.674841,15076,7933.410018
3744.664838,15906,8188.598557
3570.644832,17923,8466.795538
3843.674841,17188,8736.959352
5357.204848,18445,9041.16119
3771.664837,17517,9314.749714
3872.674843,16714,9579.029143
4038.684845,16813,9844.178205
3617.654838,16117,10102.497092
3556.654836,15817,10356.513946
3952.684845,16036,10613.630742
5458.214851,16985,10881.049249
5354.204845,17486,11173.758375
5056.174841,17754,11449.878344
5357.204848,16621,11713.335363
5058.174844,16309,11973.404962
5456.214849,15754,12227.018544
5657.234855,15617,12478.585964
5558.224853,15326,12707.400769
5858.254859,14737,12948.701266
5655.234852,18685,13252.529344
5556.224851,15762,13485.116737
6155.284862,13829,13717.43956
3993.694848,15432,13967.068312
6357.304868,13281,14173.409273
5756.244855,14845,14396.873164
5358.204849,14713,14637.853251
5157.184845,15562,14888.494627
5258.194847,17689,15162.301291
5959.264862,13849,15374.309239
6357.304868,13477,15601.517156
6357.304866,14097,15823.230701
5659.234856,15221,16079.212073
5559.224854,15010,16331.978582
6259.294868,18613,16625.91738
6759.344878,12365,16827.973002
5654.234851,14217,17070.747941
5557.224853,15097,17306.141001
6159.284866,14589,17552.511962
6456.314869,14437,17778.942377
6557.324872,13117,18007.74644
6660.334877,12501,18212.245093
7060.374885,11893,18408.881201
6457.314869,13029,18619.601017
6856.354878,12894,18828.326372
6956.36488,12777,19036.87502
6659.334876,12709,19249.761275
6457.31487,13241,19466.065298
6959.364882,12361,19672.637238
7060.374885,11769,19865.533173
7056.37488,12113,20059.601253
6555.32487,13554,20287.841406
6558.324873,13229,20493.129231
6960.364883,11985,20684.945325
6958.364882,12009,20876.01352
7359.40489,11262,21039.311548
6559.324873,12882,21259.522461
6656.334874,12505,21456.985239
6554.324869,12749,21656.508117
6858.354879,12341,21852.057252
7057.374881,11798,22040.744119
6557.324872,17141,22307.734205
6460.314874,12493,22504.664612
7059.374884,11678,22692.358529
7359.40489,11113,22854.401205
6754.344873,12369,23050.053737
6257.294866,13317,23275.217241
6456.314869,13169,23479.489198
6856.354878,12417,23675.33054
7159.384886,11750,23863.71045
6758.344877,12561,24060.803277
7059.374885,12021,24252.460267
6361.304872,12965,24454.613184
7558.424893,10977,24634.225067
7459.414892,11165,24797.325265
7159.384886,11342,24980.538441
7157.384884,11581,25167.197222
6958.364882,25873,25569.50534
7558.424893,10969,25748.997252
7257.394884,11302,25932.59041
6957.364881,11773,26121.450355
7158.384885,12305,26316.580831
7457.41489,11202,26479.755961
6966.364889,12633,26677.789108
6954.364877,12913,26899.129174
7257.394886,11765,27068.885229
7056.374881,12045,27260.35136
7657.434894,10997,27440.349358
7559.424894,11025,27621.237191
7560.424895,10457,27776.409193
6958.364881,12217,27970.665293
7656.434893,11029,28151.553242
7158.384886,11757,28340.241681
7454.414887,11293,28523.509195
7655.434892,11046,28685.432986
7757.444896,10545,28860.181229
7157.384884,11962,29051.246324
7359.40489,11425,29237.006348
7360.404891,10977,29397.644439
7659.434896,10826,29576.908815
7357.404889,11605,29763.97729
7258.394887,11434,29949.354547
7658.434895,10625,30105.609298
7457.414889,11225,30288.561146
7659.434897,11113,30470.121747
7358.404889,10958,30630.806422
7459.414892,11181,30813.088052
7558.424893,10757,30991.061003
