r,l,t
169.990171,4781,93.258511
67.990069,1262,110.633277
-1.01,581,118.724547
-1.01,261,122.372048
4.990006,162,124.63839
-1.01,386,130.009457
-1.01,737,140.329247
-1.01,126,208.938478
-1.01,126,210.704755
3.990005,358,215.759008
-1.01,126,217.540429
-1.01,870,229.810455
-0.009999,249,233.321596
-1.01,229,236.560067
-1.01,126,238.319591
-1.01,126,240.076965
-1.01,525,247.498432
-1.01,159,249.723985
-1.01,162,252.00285
-1.01,138,253.960141
-1.01,245,257.41412
-1.01,190,260.153878
-1.01,144,262.222149
-1.01,126,264.026912
-1.01,133,287.442769
-1.01,186,290.026178
-1.01,142,292.018978
-1.01,305,296.289011
-1.01,283,300.236418
-1.01,138,302.161269
-1.01,158,304.391824
-1.01,142,306.407714
-1.01,232,309.665781
-1.01,263,313.330429
-1.01,152,315.422078
-1.01,162,317.733469
-1.01,214,320.695237
-1.01,145,322.791754
-1.01,141,324.811471
-1.01,151,326.919362
-1.01,675,336.371237
-1.01,204,339.26069
-1.01,151,341.410197
-1.01,158,364.98159
-1.01,170,367.436104
-1.01,344,372.234059
-1.01,321,376.749889
-1.01,126,378.538005
-1.01,126,380.318995
-1.01,201,383.173424
-1.01,126,384.910816
-1.01,171,387.272331
-1.01,298,391.443218
-1.01,120,393.092898
-0.009999,185,395.701703
-1.01,126,397.462695
-1.01,126,399.20401
-1.01,194,401.923221
-1.01,126,403.683319
-1.01,126,405.464282
-1.01,166,407.794457
-1.01,149,409.888821
-1.01,309,414.176373
-1.01,266,417.979897
-1.01,144,420.015033
-1.01,126,443.519922
-1.01,448,449.65002
-1.01,202,452.452818
-1.01,126,454.217686
-1.01,126,455.978422
-1.01,126,457.736818
-1.01,126,459.55421
-1.01,126,461.29402
-1.01,181,463.85651
-1.01,141,465.846848
-1.01,151,468.060975
-1.01,194,470.785615
-1.01,126,472.60096
-1.01,126,474.40253
-1.01,126,476.150765
-1.01,126,477.889229
-1.01,126,479.629471
-1.01,126,481.410285
-1.01,126,483.194069
-1.01,545,490.749529
-1.01,126,492.534236
-1.01,126,494.328964
-1.01,185,497.021122
-1.01,170,499.498095
-1.01,132,522.833503
-1.01,126,524.597808
-1.01,126,526.356138
-1.01,197,529.402304
-1.01,306,533.828218
-1.01,126,535.606286
-1.01,357,540.849764
-1.01,126,542.593398
-1.01,126,544.482026
-1.01,126,546.375695
-1.01,126,548.169732
239.990241,787,559.492256
-1.01,162,561.910284
-1.01,126,563.688934
-1.01,142,565.792671
-1.01,156,567.91762
-1.01,229,571.118722
-1.01,251,574.868462
6.990008,126,576.660276
-1.01,126,578.518969
-1.01,632,609.414479
-1.01,126,611.173234
-1.01,126,612.946474
-1.01,126,614.991118
-1.01,269,618.789022
-1.01,422,624.672535
-1.01,157,626.875018
-1.01,126,628.60813
-1.01,163,630.895176
-1.01,624,639.514503
-1.01,130,641.327678
-1.01,155,643.448295
-1.01,225,646.586346
-1.01,126,648.364533
2.990004,126,650.099537
-1.01,152,652.173171
-1.01,126,653.955327
-1.01,186,656.599664
-1.01,418,685.086071
-1.01,126,686.856203
-1.01,126,688.611399
-1.01,126,690.389225
