r,l,t
158.99016,4715,92.298101
-1.01,229,95.445667
66.990068,825,106.87564
6.990008,1227,123.794874
4.990006,143,125.795698
7.990009,215,128.809178
-1.01,243,132.156852
-1.01,126,133.964806
-1.01,126,135.768375
-1.01,126,137.516868
-1.01,145,139.595568
-1.01,145,208.47447
-1.01,150,210.577482
-1.01,126,212.376951
-1.01,650,221.522337
-1.01,126,223.292059
-1.01,126,225.127454
-1.01,163,227.423136
-1.01,126,229.232947
-1.01,126,231.045109
-1.01,546,238.63713
-1.01,140,240.579027
-1.01,126,242.370676
-1.01,177,244.932591
-1.01,352,249.814287
-1.01,529,257.239597
-1.01,126,259.080773
-1.01,126,260.896976
-1.01,158,263.161733
-1.01,241,288.091509
-1.01,336,292.722852
-1.01,185,295.313741
-1.01,229,298.5557
-1.01,126,300.332937
-1.01,283,304.27946
-1.01,184,306.864177
-1.01,236,310.180985
-1.01,162,312.459434
-1.01,127,314.194172
-1.01,389,319.653909
-1.01,211,322.626449
-1.01,176,325.088915
-1.01,130,326.905874
-1.01,126,328.669846
-1.01,126,330.477597
-1.01,367,335.645118
-1.01,344,340.508013
-1.01,304,366.157799
-1.01,337,370.883623
-1.01,162,373.200687
-1.01,181,375.755621
-1.01,140,377.694937
-1.01,327,382.257856
-1.01,126,384.021161
-1.01,126,385.777019
-1.01,126,387.552819
-1.01,288,391.529673
-1.01,147,393.582708
-1.01,126,395.365376
-1.01,126,397.135013
-1.01,126,398.881332
-1.01,241,402.248752
-1.01,126,404.007103
-1.01,126,405.777296
-1.01,126,407.542658
-1.01,166,409.901914
-1.01,126,411.660666
-1.01,126,413.404973
-1.01,126,415.17311
-1.01,218,418.306995
-1.01,207,421.25501
-1.01,126,444.672634
-1.01,239,447.977806
0.990002,126,449.745159
-1.01,126,451.496164
-1.01,126,453.273031
-1.01,236,456.520802
-1.01,126,458.277099
-1.01,126,460.061942
-1.01,258,463.677236
-1.01,231,466.92338
-1.01,819,478.378631
-1.01,126,480.139858
-1.01,255,483.685618
-1.01,126,485.466125
-1.01,185,488.039141
-1.01,126,489.822759
-1.01,197,492.580856
-1.01,164,494.90362
-1.01,160,497.183805
-1.01,151,499.388631
-1.01,126,522.633296
-1.01,178,525.135224
-1.01,142,527.252317
0.990002,205,530.295593
-1.01,126,532.051146
-1.01,126,533.973307
-1.01,126,535.760155
-1.01,126,537.50914
-1.01,194,540.387599
193.990195,644,549.913157
32.990034,190,552.508363
-1.01,337,557.418904
-1.01,173,559.863612
-0.009999,160,562.254152
-1.01,162,564.509645
